,franquicia,titulo_original,recaudacion
1392,Halloween Collection,Halloween: The Curse of Michael Myers,15116634.0
1394,The Space Odyssey Series,2001: A Space Odyssey,68700000.0
1418,The Thin Man Collection,The Thin Man,1423000.0
1421,Living Dead Collection,Night of the Living Dead,30000000.0
1425,In the Line of Duty Collection,Huang jia shi jie,0.0
1429,The Mighty Ducks Collection,D3: The Mighty Ducks,22955097.0
1433,The Apple Dumpling Gang Collection,The Apple Dumpling Gang,0.0
1437,Davy Crockett Collection,"Davy Crockett, King of the Wild Frontier",0.0
1445,Witch Mountain Collection,Escape to Witch Mountain,20000000.0
1449,Herbie Collection,The Love Bug,0.0
1458,Herbie Collection,Herbie Rides Again,0.0
1462,Parent Trap Collection,The Parent Trap,0.0
1464,Homeward Bound Collection,Homeward Bound: The Incredible Journey,0.0
1472,The Shaggy Dog Collection,The Shaggy Dog,0.0
1474,Cinderella Collection,Cinderella,263591415.0
1482,Caballeros Collection,The Three Caballeros,0.0
1491,The Fox and the Hound Collection,The Fox and the Hound,29800000.0
1495,Freeway Collection,Freeway,0.0
1504,Die Hard Collection,Die Hard,140767956.0
1522,The Lawnmower Man Collection,The Lawnmower Man,32101000.0
1540,Aladdin Collection,Aladdin and the King of Thieves,0.0
1543,Dirty Dancing Collection,Dirty Dancing,213954274.0
1549,Weekend at Bernie's Collection,Weekend at Bernie's,30218387.0
1550,Basic Instinct Collection,Basic Instinct,352927224.0
1562,Children of the Corn Collection,Children of the Corn IV: The Gathering,0.0
1563,The Pink Panther (Original) Collection,The Return of the Pink Panther,41833347.0
1575,Escape From ... Collection,Escape from New York,50244700.0
1583,The Howling Collection,The Howling,17985893.0
1589,The Water of the Hills Collection,Jean de Florette,0.0
1601,The Water of the Hills Collection,Manon des Sources,0.0
1606,Wallace & Gromit Collection,The Wrong Trousers,0.0
1609,Best of the Best Collection,Best of the Best 3: No Turning Back,0.0
1610,Cheech & Chong Collection,Up in Smoke,41590893.0
1611,Star Wars Collection,The Empire Strikes Back,538400000.0
1617,Indiana Jones Collection,Raiders of the Lost Ark,389925971.0
1641,Alien Collection,Aliens,183316455.0
1665,The Man With No Name Collection,"Il buono, il brutto, il cattivo",6000000.0
1681,Star Wars Collection,Return of the Jedi,572700000.0
1687,Alien Collection,Alien,104931801.0
1719,Evil Dead Collection,Army of Darkness,0.0
1731,Psycho Collection,Psycho,32000000.0
1740,The Blues Brothers Collection,The Blues Brothers,115229890.0
1744,The Godfather Collection,The Godfather: Part II,47542841.0
1760,Wallace & Gromit Collection,A Grand Day Out,0.0
1765,The Sting Collection,The Sting,159616327.0
1768,The Terminator Collection,The Terminator,78371200.0
1798,The Jake Gittes Collection,Chinatown,30000000.0
1834,Evil Dead Collection,Evil Dead II,5923044.0
1840,Back to the Future Collection,Back to the Future,381109762.0
1852,Highlander Collection,Highlander,5900000.0
1864,Fantasia Collection,Fantasia,83320000.0
1867,Qatsi Collection,Koyaanisqatsi,1723872.0
1871,Indiana Jones Collection,Indiana Jones and the Last Crusade,474171806.0
1883,Alien Collection,Alien³,159773545.0
1895,The Amityville Horror Collection,Amityville: It's About Time,0.0
1899,The Amityville Horror Collection,Amityville 3-D,6333135.0
1901,The Amityville Horror Collection,Amityville: Dollhouse,0.0
1904,The Amityville Horror Collection,Amityville: A New Generation,0.0
1905,The Amityville Horror Collection,Amityville II: The Possession,12534817.0
1911,The Amityville Horror Collection,The Amityville Horror,86432000.0
1914,The Amityville Horror Collection,The Amityville Curse,0.0
1922,The Blob Collection,The Blob,0.0
1926,Frankenstein (Universal Series),Bride of Frankenstein,0.0
1928,Candyman Collection,Candyman,25792310.0
1937,Carrie Collection,Carrie,33800000.0
1939,A Nightmare on Elm Street Collection,A Nightmare on Elm Street,25504513.0
1941,The Omen Collection,The Omen,60922980.0
1965,Heart of Gold Collection,Breaking the Waves,3803298.0
1989,Star Trek: The Next Generation Collection,Star Trek: First Contact,150000000.0
1997,Jingle All the Way Collection,Jingle All the Way,129832389.0
2001,Paradise Lost Collection,Paradise Lost: The Child Murders at Robin Hood Hills,0.0
2003,101 Dalmatians (Live-Action) Collection,101 Dalmatians,320689294.0
2011,Die Hard Collection,Die Hard 2,240031094.0
2023,Star Trek: The Original Series Collection,Star Trek: The Motion Picture,139000000.0
2026,Star Trek: The Original Series Collection,Star Trek VI: The Undiscovered Country,96900000.0
2030,Star Trek: The Original Series Collection,Star Trek V: The Final Frontier,70200000.0
2034,Star Trek: The Original Series Collection,Star Trek II: The Wrath of Khan,96800000.0
2038,Star Trek: The Original Series Collection,Star Trek III: The Search for Spock,87000000.0
2046,Star Trek: The Original Series Collection,Star Trek IV: The Voyage Home,133000000.0
2050,Batman Collection,Batman Returns,280000000.0
2058,Young Guns Collection,Young Guns,44726644.0
2068,Young Guns Collection,Young Guns II,0.0
2070,Grease Collection,Grease,181813770.0
2072,Grease Collection,Grease 2,15171476.0
2077,Under Siege Collection,Under Siege,156563139.0
2093,The Jaws Collection,Jaws,470654000.0
2099,The Jaws Collection,Jaws 2,187884007.0
2101,The Jaws Collection,Jaws 3-D,87987055.0
2107,Scream Collection,Scream,173046663.0
2113,Turbulence Collection,Turbulence,11466088.0
2119,Police Story Collection,警察故事4之簡單任務,21890845.0
2239,McHale's Navy Collection,McHale's Navy,4529843.0
2248,National Lampoon's Vacation Collection,Vegas Vacation,36400360.0
2250,The Saint Collection,The Saint,118063304.0
2280,Barrytown Trilogy,The Van,0.0
2284,Power Rangers Collection,Turbo: A Power Rangers Movie,17979739.0
2320,Anaconda Collection,Anaconda,136885767.0
2374,Austin Powers Collection,Austin Powers: International Man of Mystery,67683989.0
2392,Warriors of Virtue Collection,Warriors of Virtue,0.0
2440,Teenage Apocalypse Trilogy,Nowhere,27354.0
2452,Jurassic Park Collection,The Lost World: Jurassic Park,229074524.0
2458,Shiloh Collection,Shiloh,0.0
2466,Speed Collection,Speed 2: Cruise Control,164508066.0
2478,Batman Collection,Batman & Robin,238207122.0
2490,Tetsuo Collection,Tetsuo II: Body Hammer,0.0
2494,Men In Black Collection,Men in Black,589390539.0
2518,Conan the Barbarian Collection,Conan the Barbarian,79114085.0
2524,George of the Jungle Collection,George of the Jungle,0.0
2540,Air Bud Collection,Air Bud,23144499.0
2546,Free Willy Collection,Free Willy 3: The Rescue,0.0
2552,Mimic Collection,Mimic,25480490.0
2564,The Jack Ryan Collection,The Hunt for Red October,199200000.0
2582,Alex Cross Collection,Kiss the Girls,60527873.0
2598,Wishmaster Collection,Wishmaster,15719109.0
2601,I Know What You Did Last Summer Collection,I Know What You Did Last Summer,125586134.0
