,franquicia,titulo_original,recaudacion
13636,The Pink Panther (Original) Collection,The Pink Panther Strikes Again,33833201.0
13652,Elements Trilogy,1947: Earth,528972.0
13654,Elements Trilogy,Fire,501533.0
13670,Jeepers Creepers Collection,Jeepers Creepers 2,63102666.0
13678,Sides of the Bed,El otro lado de la cama,0.0
13682,The Cabin Fever Collection,Cabin Fever,30553394.0
13688,Mexico Trilogy,Once Upon a Time in Mexico,98185582.0
13694,Once Upon a Time in China Collection,黃飛鴻,3826459.0
13698,Once Upon a Time in China Collection,黃飛鴻之二男兒當自強,30399676.0
13702,Once Upon a Time in China Collection,黃飛鴻之三獅王爭霸,27540561.0
13708,Living Dead Collection,Day of the Dead,34000000.0
13720,Underworld Collection,Underworld,95708457.0
13780,Yossi Collection,יוסי וג'אגר,0.0
13789,Dorm Daze Collection,National Lampoon Presents Dorm Daze,0.0
13790,Leningrad Cowboys Collection,Leningrad Cowboys Go America,0.0
13794,Beethoven Collection,Beethoven,147214049.0
13798,Beethoven Collection,Beethoven's 2nd,118243066.0
13802,Ginger Snaps Collection,Ginger Snaps,0.0
13806,American Graffiti Collection,More American Graffiti,15014674.0
13812,House of the Dead Collection,House of the Dead,13818181.0
13848,Kill Bill Collection,Kill Bill: Vol. 1,180949000.0
13866,Texas Chainsaw (Reboot) Collection,The Texas Chainsaw Massacre,107071655.0
13872,Scary Movie Collection,Scary Movie 3,220673217.0
13874,Brother Bear Collection,Brother Bear,0.0
13883,The Eye Collection,見鬼,0.0
13907,Frankenstein (Hammer Series),Frankenstein and the Monster from Hell,0.0
13909,The Apu Collection,অপরাজিত,170215.0
13910,Man of Marble/Iron Collection,Człowiek z marmuru,0.0
13914,Sherlock Holmes (1939 series),Sherlock Holmes and the Voice of Terror,0.0
13920,Sherlock Holmes (1939 series),Sherlock Holmes Faces Death,0.0
13926,Sherlock Holmes (1939 series),Sherlock Holmes in Washington,0.0
13930,The Matrix Collection,The Matrix Revolutions,424988211.0
13994,Father of the Bride Collection,Father of the Bride,89325780.0
14006,Bad Santa Collection,Bad Santa,76488889.0
14024,Darkman Collection,Darkman,48878502.0
14030,Europa Trilogy,Europa,0.0
14102,Tales from the Crypt Collection,Tales from the Crypt,0.0
14104,WarGames Collection,WarGames,79567667.0
14108,Highlander Collection,Highlander II: The Quickening,15556340.0
14117,Kindergarten Cop Collection,Kindergarten Cop,201957688.0
14121,Battle Royale Collection,バトル・ロワイアル,25000000.0
14139,Teen Wolf Collection,Teen Wolf,0.0
14142,The Pink Panther (Original) Collection,A Shot in the Dark,12368234.0
14158,Leprechaun Collection (Original Series),Leprechaun,8556940.0
14164,Europa Trilogy,Forbrydelsens element,0.0
14172,The Adventures of Antoine Doinel,Baisers volés,0.0
14178,Honey Collection,Honey,62646763.0
14187,The Lord of the Rings Collection,The Lord of the Rings: The Return of the King,1118888979.0
14199,Cheaper by the Dozen Collection,Cheaper by the Dozen,190212113.0
14201,Re-Animator Collection,Beyond Re-Animator,0.0
14213,Pumping Iron Collection,Pumping Iron,0.0
14216,The Matt Helm Collection,The Silencers,16318124.0
14219,The Butterfly Effect Collection,The Butterfly Effect,96060858.0
14239,You Got Served Collection,You Got Served,0.0
14240,Barbershop Collection,Barbershop 2:  Back in Business,65070412.0
14242,Trilogie,Un couple épatant,0.0
14244,The Lost Skeleton Collection,The Lost Skeleton of Cadavra,0.0
14253,Blacula Collection,Blacula,0.0
14257,Blacula Collection,Scream Blacula Scream,0.0
14259,Trilogie,Après la vie,0.0
14263,Allan Quatermain Collection,King Solomon's Mines,238227.0
14272,Dirty Dancing Collection,Dirty Dancing: Havana Nights,27685016.0
14292,Agent Cody Banks Collection,Agent Cody Banks 2: Destination London,28818995.0
14297,Scooby-Doo Collection,Scooby-Doo 2: Monsters Unleashed,181466833.0
14305,USA: Land of Opportunities Collection,Dogville,16680836.0
14818,Hellboy Collection,Hellboy,99318987.0
14848,The Prince & Me Collection,The Prince & Me,0.0
14908,Walking Tall Collection,Walking Tall,57223890.0
14932,The Whole Nine/Ten Yards Collection,The Whole Ten Yards,26155781.0
14986,Living Dead Collection,Dawn of the Dead,55000000.0
14992,Road to Collection,Road to Bali,0.0
14993,Kill Bill Collection,Kill Bill: Vol. 2,152159461.0
15029,Mean Girls Collection,Mean Girls,129042871.0
15041,Van Helsing Collection,Van Helsing,300257475.0
15077,The Kingdom,Riget,0.0
15083,100 Girls Collection,100 Girls,0.0
15086,The Up Series,28 Up,0.0
15088,James Bond Collection,You Only Live Twice,111584787.0
15097,James Bond Collection,Octopussy,187500000.0
15121,James Bond Collection,Never Say Never Again,160000000.0
15229,Babylon 5 Collection,Babylon 5: In the Beginning,0.0
15237,Look Who's Talking Collection,Look Who's Talking Too,0.0
15239,The Delta Force Collection,The Delta Force,17768900.0
15255,Cat People Collection,Cat People,4000000.0
15264,The Musketeers Collection,The Four Musketeers,0.0
15280,Bang Rajan Collection,บางระจัน,0.0
15286,Sniper Collection,Sniper,18994653.0
15310,Babylon 5 Collection,Babylon 5: A Call to Arms,0.0
15318,Babylon 5 Collection,Babylon 5: The River of Souls,0.0
15326,Babylon 5 Collection,Babylon 5: Thirdspace,0.0
15334,The Thin Man Collection,Another Thin Man,0.0
15336,The Thin Man Collection,The Thin Man Goes Home,0.0
15339,The Thin Man Collection,Shadow of the Thin Man,0.0
15343,The Thin Man Collection,After the Thin Man,0.0
15346,The Thin Man Collection,Song of the Thin Man,0.0
15351,Lammbock Collection,Lammbock,0.0
15352,The Legend Collection,The Legend Fong Sai Yuk,3956913.0
15355,Tremors Collection,Tremors 2: Aftershocks,0.0
15371,Tremors Collection,Tremors 3: Back to Perfection,0.0
15381,Vampire Karnstein (Hammer series),The Vampire Lovers,0.0
15383,The Cheerleaders - Collection,The Cheerleaders,0.0
15384,The Streetfighter Collection,Gekitotsu! Satsujin ken,0.0
15385,The Streetfighter Collection,Satsujin ken 2,0.0
15387,Frankenstein (Hammer Series),Frankenstein Must Be Destroyed,0.0
15389,The Gidget Collection,Gidget,0.0
15391,Silence of God Trilogy by Ingmar Bergman,Tystnaden,0.0
15399,Silence of God Trilogy by Ingmar Bergman,Nattvardsgästerna,0.0
15400,Silence of God Trilogy by Ingmar Bergman,Såsom i en spegel,0.0
15402,The Complete Monterey Pop Festival,Monterey Pop,0.0
15404,Infernal Affairs Collection,無間道,8708932.0
15409,Robot Jox Collection,Robot Jox,0.0
15413,Death Race Original Collection,Death Race 2000,8000000.0
15416,Lew Harper Collection,Harper,12000000.0
15421,In China They Eat Dogs Collection,I Kina spiser de hunde,0.0
15433,The Delta Force Collection,Delta Force 2: The Colombian Connection,6698361.0
15441,Per Fly trilogien (Samling),Arven,0.0
15445,Dead or Alive Collection,DEAD OR ALIVE 犯罪者,0.0
15449,Alienation Trilogy,L'avventura,0.0
15457,Dr. Mabuse Collection,Die 1000 Augen des Dr. Mabuse,0.0
15484,Teenage Apocalypse Trilogy,Totally Fucked Up,0.0
15486,Lupin the Third Collection,Rupan sansei: Kariosutoro no shiro,0.0
15489,The Toxic Avenger Collection,Citizen Toxie: The Toxic Avenger IV,0.0
15491,Grey Gardens Collection,Grey Gardens,0.0
15492,Shrek Collection,Shrek 2,919838758.0
15507,Harry Potter Collection,Harry Potter and the Prisoner of Azkaban,789804554.0
15525,The Chronicles of Riddick Collection,The Chronicles of Riddick,115772733.0
15529,Garfield Collection,Garfield,200804534.0
15538,Police Academy Collection,Police Academy: Mission to Moscow,126247.0
15540,Sherlock Holmes (1939 series),The Adventures of Sherlock Holmes,0.0
15543,Sherlock Holmes (1939 series),The Hound of the Baskervilles,0.0
15547,Super Size Me Collection,Super Size Me,28575078.0
15550,Billy Jack Collection,The Born Losers,36000000.0
15556,The Human Condition,人間の條件　第１部純愛篇／第２部激怒篇,0.0
15568,Godzilla (Showa) Collection,ゴジラ対メカゴジラ,0.0
15574,The Hitcher (1986) Collection,The Hitcher,5844868.0
15583,Dexter Riley Collection,"Now You See Him, Now You Don't",0.0
15585,The Philadelphia Experiment - Collezione,The Philadelphia Experiment,0.0
15588,The Pink Panther (Original) Collection,Revenge of the Pink Panther,49579269.0
15652,Taxi Collection,Taxi,268254.0
15724,Taxi Collection,Taxi 3,65497208.0
15726,Lassie (Kinofilme),Lassie Come Home,0.0
15729,Spider-Man Collection,Spider-Man 2,783766341.0
15756,Before... Collection,Before Sunset,15992615.0
15768,Anchorman Collection,Anchorman: The Legend of Ron Burgundy,90574188.0
15769,Cinderella Story Collection,A Cinderella Story,70067909.0
15793,Trylogia Sienkiewicza,Potop,0.0
15802,The Bourne Collection,The Bourne Supremacy,288500217.0
15922,The Magnificent Seven Collection,Guns of the Magnificent Seven,0.0
15938,The Magnificent Seven Collection,The Magnificent Seven Ride!,0.0
15942,Sherlock Holmes (1939 series),Terror by Night,0.0
15946,Sherlock Holmes (1939 series),Sherlock Holmes and the Secret Weapon,0.0
15964,Sherlock Holmes (1939 series),The Woman in Green,0.0
15968,Sherlock Holmes (1939 series),Dressed to Kill,0.0
15972,Thunderbirds (Animation) Collection,Thunderbirds are GO,0.0
15980,Thunderbirds (Animation) Collection,Thunderbird 6,0.0
15988,PTU Collection,PTU,0.0
15994,Harold & Kumar Collection,Harold & Kumar Go to White Castle,23936908.0
15998,The Princess Diaries Collection,The Princess Diaries 2: Royal Engagement,95149435.0
16002,AVP Collection,AVP: Alien vs. Predator,171183863.0
16332,Without a Paddle Collection,Without a Paddle,69631118.0
16340,The Exorcist Collection,Exorcist: The Beginning,78000586.0
16346,The Sting Collection,The Sting II,6347072.0
16352,The Benji Collection,Benji: Off the Leash!,0.0
16354,Anaconda Collection,Anacondas: The Hunt for the Blood Orchid,70992898.0
16374,The Mangler Collection,The Mangler,0.0
16380,Night of the Demons Collection,Night of the Demons,3109904.0
16386,Witchboard Collection,Witchboard,0.0
16388,Resident Evil Collection,Resident Evil: Apocalypse,129394835.0
16418,Nuke 'Em High Collection,Class of Nuke 'Em High 2: Subhumanoid Meltdown,0.0
16421,Basket Case Collection,Basket Case 3,0.0
16422,Basket Case Collection,Basket Case 2,0.0
16423,Europa Trilogy,Epidemic,0.0
16431,It's Alive Collection,It's Alive,0.0
16433,The Grudge Collection,The Grudge,183474602.0
16493,Saw Collection,Saw,103911669.0
16505,The Incredibles Collection,The Incredibles,631442092.0
16521,Child's Play Collection,Seed of Chucky,24829644.0
16527,Bridget Jones Collection,Bridget Jones: The Edge of Reason,40203020.0
16707,National Treasure Collection,National Treasure,347451894.0
16755,SpongeBob Collection,The SpongeBob SquarePants Movie,140161792.0
16764,Ocean's Collection,Ocean's Twelve,362744280.0
16814,Blade Collection,Blade: Trinity,128905366.0
16886,That's Entertainment Collection,That's Entertainment!,0.0
16889,That's Entertainment Collection,"That's Entertainment, Part II",0.0
16892,That's Entertainment Collection,That's Entertainment! III,0.0
16898,The Invisible Man (Universal Series),The Invisible Man Returns,0.0
16903,I Love a Mystery movie series,The Unknown,0.0
16906,King Kong (1933 series),The Son of Kong,0.0
16914,The Wolf Man (Universal Series),Werewolf of London,0.0
16923,Topper Collection,Topper,0.0
16926,Why We Fight,Why We Fight: Prelude to War,0.0
16929,Cat People Collection,The Curse of the Cat People,0.0
16931,Ivan The Terrible Collection,Иван Грозный,0.0
16935,Road to Collection,Road to Rio,0.0
16938,The Orphic Trilogy,Orphée,0.0
16944,Allan Quatermain (1950 series),King Solomon's Mines,0.0
16947,The Paleface Collection,Son of Paleface,0.0
16950,St. Trinian's Collection,The Belles of St. Trinian's,0.0
16951,Samurai Collection,宮本武蔵,0.0
16954,Samurai Collection,続宮本武蔵　一乗寺の決闘,0.0
16957,Samurai Collection,宮本武蔵完結編　決闘巌流島,0.0
16962,The Human Condition,人間の條件　第３部望郷篇／第４部戦雲篇,0.0
16971,The Human Condition,人間の條件　完結篇,0.0
16989,Alienation Trilogy,L'eclisse,0.0
17025,Dracula (Hammer Series),Dracula: Prince of Darkness,364937.0
17027,Asterix and Obelix (Animation) Collection,Astérix le Gaulois,0.0
17043,Asterix and Obelix (Animation) Collection,Astérix et Cléopâtre,0.0
17059,Dracula (Hammer Series),Dracula Has Risen from the Grave,0.0
17061,Dracula (Hammer Series),Taste the Blood of Dracula,0.0
17062,Gamera Films,Gamera tai Daimaju Jaiga,0.0
17065,Trinità  Collection,Lo chiamavano Trinità...,0.0
17068,Dracula (Hammer Series),Scars of Dracula,0.0
17069,The Emigrants Collection,Utvandrarna,0.0
17071,Dr. Phibes Collection,Dr. Phibes Rises Again,0.0
17075,Dracula (Hammer Series),Dracula A.D. 1972,0.0
17076,The Tall Blond Man Collection,Le grand blond avec une chaussure noire,0.0
17088,Lone Wolf and Cub Collection,子連れ狼 子を貸し腕貸しつかまつる,0.0
17090,Lone Wolf and Cub Collection,子連れ狼 三途の川の乳母車,0.0
17092,Nobody Collection,Il mio nome è Nessuno,0.0
17100,Walking Tall Original Collection,Walking Tall,0.0
17103,Emmanuelle Collection,Emmanuelle,0.0
17107,Gone in 60 Seconds Trilogy,Gone in 60 Seconds,0.0
17111,Mountain Family Robinson Collection,The Adventures of the Wilderness Family,0.0
17113,Dolemite Collection,Dolemite,0.0
17116,Asterix and Obelix (Animation) Collection,Les 12 travaux d'Astérix,0.0
17128,Emmanuelle Collection,Emmanuelle 2: L'antivierge,0.0
17130,French Connection Collection,French Connection II,12484444.0
17138,Ирония судьбы (Коллекция),"Ирония судьбы, или С легким паром!",0.0
17141,The Sister Street Fighter Collection,女必殺拳,0.0
17145,Vixens Collection,Supervixens,0.0
17146,Trilogy of Terror Collection,Trilogy of Terror,0.0
17150,Westworld Collection,Futureworld,0.0
17154,Vixens Collection,Up!,0.0
17155,The Rutles Collection,The Rutles: All You Need Is Cash,0.0
17156,The Lord of the Rings Animated Collection,The Hobbit,0.0
17159,French Fried Vacation,Les Bronzés font du ski,0.0
17161,Barefoot Gen Collection,Hadashi no Gen,0.0
17164,Star Wars: The Ewok Adventures Collection,The Ewok Adventure,0.0
17174,"Silent Night, Deadly Night Collection","Silent Night, Deadly Night",0.0
17176,Anne of Green Gables Collection,Anne of Green Gables,0.0
17178,Asterix and Obelix (Animation) Collection,Astérix et la surprise de César,0.0
17190,Barbarian Queen Collection,Barbarian Queen,0.0
17206,Demons Collection,Dèmoni,0.0
17209,Star Wars: The Ewok Adventures Collection,Ewoks: The Battle for Endor,0.0
17210,Mr. Vampire Collection,殭屍先生,0.0
17219,Police Story Collection,警察故事,0.0
17225,Asterix and Obelix (Animation) Collection,Astérix chez les Bretons,0.0
17233,Flodder Collection,Flodder,0.0
17234,A Better Tomorrow Collection,英雄本色,4469460.0
17243,The Frogtown Collection,Hell Comes to Frogtown,0.0
17247,Koker Trilogy,خانه‌ی دوست کجاست؟,0.0
17249,A Chinese Ghost Story Collection,倩女幽魂,0.0
17251,A Better Tomorrow Collection,Ying hung boon sik II,0.0
17263,Patlabor Collection,機動警察パトレイバー 劇場版,0.0
17266,The Up Series,35 Up,0.0
17268,Wong Kar-Wai's Informal Collection,阿飛正傳,141864.0
17280,Begotten Collection,Begotten,0.0
17282,Mannequin Collection,Mannequin Two: On the Move,3752426.0
17286,Barbarian Queen Collection,Barbarian Queen II: The Empress Strikes Back,0.0
17292,Koker Trilogy,زندگی و دیگر هیچ,0.0
17296,House of Angels Collection,Änglagård,0.0
17305,Lonesome Dove Collection,Return to Lonesome Dove,0.0
17307,American Ninja Collection,American Ninja 5,0.0
17311,The Bride with White Hair Collection,白髮魔女傳,0.0
17321,Cyborg Collection,Cyborg 2,0.0
17327,The Legend Collection,Fong Sai Yuk juk jaap,2967668.0
17331,Fortress Collection,Fortress,6739141.0
17349,Leningrad Cowboys Collection,Leningrad Cowboys Meet Moses,0.0
17364,The Philadelphia Experiment - Collezione,Philadelphia Experiment II,2970.0
17366,Barrytown Trilogy,The Snapper,0.0
17370,Trilogía de la violencia de Michael Haneke,71 Fragmente einer Chronologie des Zufalls,0.0
17374,Naked Collection,赤裸羔羊,0.0
17380,Darkman Collection,Darkman II: The Return of Durant,0.0
17384,Major League Collection,Major League II,30626182.0
17386,Pumpkinhead Collection,Pumpkinhead II: Blood Wings,0.0
17390,Gonin collection,Gonin,0.0
17394,Street Fighter Collection,ストリートファイター II MOVIE,0.0
17406,Tales of the Four Seasons,Conte d'été,0.0
17418,Jack Frost Collection,Jack Frost,0.0
17421,The Hunters Collection,Jägarna,0.0
17424,Aki Kaurismäki's Finland trilogy,Kauas pilvet karkaavat,0.0
17425,Pusher Collection,Pusher,0.0
17429,Bikini Summer Collection,Bikini Summer III: South Beach Heat,0.0
17430,The Cremaster Cycle,Cremaster 5,0.0
17431,Hamilton Collection,Hamilton,0.0
17503,The Lion King Collection,The Lion King 2: Simba's Pride,0.0
17521,From Dusk Till Dawn Collection,From Dusk Till Dawn 3: The Hangman's Daughter,0.0
17530,From Dusk Till Dawn Collection,From Dusk Till Dawn 2: Texas Blood Money,0.0
17542,Torrente Collection,"Torrente, el brazo tonto de la ley",0.0
17546,The Kingdom,Riget II,0.0
17550,Unna Trilogie,Bang Boom Bang - Ein todsicheres Ding,0.0
17559,Batman (DC Universe Animated) Collection,Batman & Mr. Freeze: SubZero,0.0
17571,Addams Family Collection,Addams Family Reunion,0.0
17591,Lady Snowblood Collection,修羅雪姫,0.0
17594,Candyman Collection,Candyman: Day of the Dead,0.0
17598,Superman (DC Universe Animated) Collection,The Batman Superman Movie: World's Finest,0.0
17604,Evangelion Collection,新世紀エヴァンゲリオン劇場版,20000000.0
17631,Freeway Collection,Freeway II: Confessions of a Trickbaby,0.0
17637,Kirikou,Kirikou et la Sorcière,0.0
17685,The Prophecy Collection,The Prophecy 3: The Ascent,0.0
17688,Taxi Collection,Taxi 2,60726164.0
17706,Osobennosti Natsionalnoy ... - Collection,Особенности национальной рыбалки,0.0
17710,Cruel Intentions Collection,Cruel Intentions 2,0.0
17719,The Big Bottom Box,Guest House Paradiso,0.0
17720,If These Walls Could Talk Collection,If These Walls Could Talk 2,0.0
17724,A Goofy Movie Collection,An Extremely Goofy Movie,0.0
17730,Wong Kar-Wai's Informal Collection,2046,19271312.0
17970,The Cremaster Cycle,Cremaster 2,0.0
17971,Running Out Of Time Collection,暗戰,0.0
17979,The Wog Boy Collection,The Wog Boy,0.0
17983,The Female Prisoner Series,女囚701号/さそり,0.0
17984,The Female Prisoner Series,Joshuu sasori: Dai-41 zakkyo-bô,0.0
17988,Batman Beyond Collection,Batman Beyond: Return of the Joker,0.0
17992,Mimic Collection,Mimic 2,0.0
18004,Paradise Lost Collection,Paradise Lost 2: Revelations,0.0
18005,In China They Eat Dogs Collection,Gamle mænd i nye biler,0.0
18017,Asterix and Obelix Collection,Astérix & Obélix Mission Cléopâtre,111127553.0
18337,Godzilla (Millennium) Collection,ゴジラ・モスラ・キングギドラ大怪獣総進撃,0.0
18341,American Psycho Collection,American Psycho 2: All American Girl,0.0
18343,Dead or Alive Collection,DEAD OR ALIVE 2　逃亡者,0.0
18352,Cube Collection,Cube 2: Hypercube,0.0
18358,My Sassy Girl Collection,엽기적인 그녀,0.0
18364,Annika Bengtzon Collection,Sprängaren,0.0
18366,My Wife is a Gangster Collection,조폭 마누라,0.0
18368,Dead or Alive Collection,Dead or Alive: Final,0.0
18398,Fubar Collection,Fubar,0.0
18404,The Vengeance Collection,복수는 나의 것,1954937.0
18410,The Foreigner Collection,The Foreigner,0.0
18442,Johan Falk Collection,Den tredje vågen,0.0
18502,The Lion King Collection,The Lion King 1½,0.0
18520,The Cremaster Cycle,Cremaster 3,0.0
18521,Herr Lehmann Filmreihe,Herr Lehmann,0.0
18523,Ju-on Collection,呪怨,0.0
18524,Ju-on Collection,呪怨2 ビデオ版,0.0
18525,Tremors Collection,Tremors 4: The Legend Begins,0.0
18529,Bring It On Collection,Bring It On Again,0.0
18530,The Crimson Rivers Collection,Les Rivières pourpres 2 : Les Anges de l'apocalypse,0.0
18692,Sniper Collection,Sniper 2,0.0
18693,Battle Royale Collection,Batoru rowaiaru II: Chinkonka,0.0
18695,Naked Collection,赤裸特工,0.0
18701,Ghost in the Shell Collection,イノセンス,9789651.0
18707,Samurai Trilogy,Tasogare Seibei,7338987.0
18710,The Twins Effect Collection,千機變,0.0
18716,Ginger Snaps Collection,Ginger Snaps 2: Unleashed,0.0
18720,Dark Woods Collection,Villmark,0.0
18732,Ju-on Collection,呪怨じゅおん,0.0
18733,The Vengeance Collection,올드보이,14980005.0
18741,Ginger Snaps Collection,Ginger Snaps Back: The Beginning,0.0
18753,One Missed Call Collection,着信アリ,0.0
18755,Inuyasha Collection,犬夜叉 鏡の中の夢幻城,0.0
18759,Starship Troopers Collection,Starship Troopers 2: Hero of the Federation,0.0
18767,Ju-on Collection,呪怨2,0.0
18781,Ong Bak Collection,Ong Bak,15.0
18789,Infernal Affairs Collection,無間道II,0.0
18837,Saints and Soldiers Collection,Saints and Soldiers,0.0
18847,Open Water Collection,Open Water,54667954.0
18849,Infernal Affairs Collection,無間道III: 終極無間,0.0
18852,The Ring Collection,The Ring Two,161451538.0
18861,The Yes Men Collection,The Yes Men,0.0
18863,Bummer Collection,Бумер,1600000.0
18867,Azumi Collection,あずみ,0.0
18877,Cruel Intentions Collection,Cruel Intentions 3,0.0
18886,What the Bleep! Collection,What the #$*! Do We (K)now!?,10000000.0
18889,The Eye Collection,Gin gwai 2,0.0
18905,Hellraiser Collection,Hellraiser: Inferno,0.0
18921,Meet the Parents Collection,Meet the Fockers,516642939.0
18929,White Noise Collection,White Noise,91196419.0
19010,Godzilla (Showa) Collection,Kaijūtō no Kessen: Gojira no Musuko,0.0
19011,The Yakuza Papers Collection,仁義なき戦い,0.0
19014,Brancaleone Collection,L'armata Brancaleone,1314230.0
19038,Appleseed Collection,アップルシード,1461989.0
19062,Pippi Longstocking,Pippi Långstrump på de sju haven,0.0
19074,Pippi Longstocking,På rymmen med Pippi Långstrump,0.0
19076,Father Flanagan Collection,Boys Town,0.0
19079,Beastmaster Collection,Beastmaster 2: Through the Portal of Time,869325.0
19087,Dr. Who Collection,Dr. Who and the Daleks,0.0
19089,The Are We Collection,Are We There Yet?,97918663.0
19101,Alone in the Dark Collection,Alone in the Dark,10442808.0
19221,The Boogeyman Collection,Boogeyman,67192859.0
19269,The BRD Collection,Die Ehe der Maria Braun,0.0
19293,Constantine Collection,Constantine,230884728.0
19455,The Mask Collection,Son of the Mask,0.0
19471,World of Watches Collection,Ночной дозор,32000000.0
19495,Topper Collection,Topper Returns,0.0
19499,"No Retreat, No Surrender Collection","No Retreat, No Surrender",4662137.0
19501,The ChubbChubbs Collection,The ChubbChubbs!,0.0
19504,The Musketeers Collection,The Three Musketeers,0.0
19512,The Adventures of Antoine Doinel,Domicile Conjugal,0.0
19518,War Trilogy,Germania anno zero,0.0
19530,The Blind Dead Collection,La noche del terror ciego,0.0
19534,Chili Palmer Collection,Be Cool,95226116.0
19550,Godzilla (Showa) Collection,ゴジラ・エビラ・モスラ　南海の大決闘,0.0
19554,Godzilla (Heisei) Collection,ゴジラvsメカゴジラ,0.0
19559,"Oh, God! Collection","Oh, God! You Devil",0.0
19560,Cube Collection,Cube Zero,0.0
19587,Vares Collection,Vares – Yksityisetsivä,0.0
19590,Miss Congeniality Collection,Miss Congeniality 2: Armed and Fabulous,0.0
19596,Zu Warriors Collection,Zu: The Warriors from the Magic Mountain,0.0
19606,Godzilla (Showa) Collection,Kaijū Daisensō,0.0
19614,Sin City Collection,Sin City,158733820.0
19623,Trilogy of Life,Il fiore delle mille e una notte,0.0
19629,Ringu Collection,リング０　バースデイ,0.0
19630,The Love Comes Softly Collection,Love Comes Softly,0.0
19642,The Amityville Horror Collection,The Amityville Horror,108047131.0
19654,State Property Collection,State Property 2,1691706.0
19658,xXx Collection,xXx: State of the Union,71073932.0
19676,Zatôichi: The Blind Swordsman,新座頭市　破れ！唐人剣,0.0
19694,Ukraine Trilogy,Земля,0.0
19695,Vampire Hunter D Collection,バンパイアハンターD,0.0
19698,Star Wars Collection,Star Wars: Episode III - Revenge of the Sith,850000000.0
19701,The Invisible Man (Universal Series),The Invisible Woman,0.0
19704,Madagascar Collection,Madagascar,532680671.0
19734,The Exorcist Collection,Dominion: Prequel to the Exorcist,251495.0
19736,The Sisterhood of the Traveling Pants Collection,The Sisterhood of the Traveling Pants,39053061.0
19754,Godzilla (Heisei) Collection,ゴジラvsビオランテ,0.0
19758,The Dark Knight Collection,Batman Begins,374218673.0
19866,Godzilla (Millennium) Collection,Gojira: Fainaru uôzu,0.0
19881,Herbie Collection,Herbie Fully Loaded,66002004.0
19891,Living Dead Collection,Land of the Dead,46770602.0
19951,The Emigrants Collection,Nybyggarna,0.0
19955,My Friends Collection,Amici miei,0.0
19956,Godzilla (Showa) Collection,Gojira tai Hedora,0.0
19962,Harry Palmer Collection,Billion Dollar Brain,0.0
19963,Fantastic Four Collection,Fantastic Four,330579719.0
20003,The Klapisch Trilogy,Les Poupées Russes,23727301.0
20039,House of 1000 Corpses Collection,The Devil's Rejects,0.0
20087,Whispering Corridors Collection,여고괴담,0.0
20088,The Dukes Of Hazzard Collection,The Dukes of Hazzard,110803676.0
20100,Deuce Bigalow Collection,Deuce Bigalow: European Gigolo,22400154.0
20112,Pusher Collection,Pusher II,0.0
20118,Mr. Wong Collection,Doomed to Die,0.0
20122,Asterix and Obelix Collection,Astérix & Obélix contre César,1644060.0
20154,The Transporter Collection,Transporter 2,85167639.0
20217,Enter the Ninja Collection,Revenge of the Ninja,13168027.0
20241,Police Story Collection,警察故事續集,0.0
20247,Police Story Collection,新警察故事,0.0
20271,Waiting Collection,Waiting...,18637690.0
20275,Green Street Hooligans Collection,Green Street Hooligans,3154346.0
20279,Final Fantasy Collection,Final Fantasy VII: Advent Children,0.0
20283,Into the Blue Collection,Into the Blue,44434439.0
20295,Wallace & Gromit Collection,The Curse of the Were-Rabbit,192452832.0
20311,Whispering Corridors Collection,여고괴담 3: 여우계단,0.0
20312,Goal! Collection,Goal!: The Dream Begins,27610873.0
20324,Star Wreck Collection,Star Wreck: In the Pirkinning,0.0
20327,Left Behind Collection,Left Behind III: World at War,0.0
20333,Zorro Collection,The Legend of Zorro,142400065.0
20357,Saw Collection,Saw II,152925093.0
20362,Nobody Collection,"Un genio, due compari, un pollo",0.0
20368,American Pie (Spin-off) Collection,American Pie Presents: Band Camp,0.0
20369,Tarzan (Johnny Weissmuller series),Tarzan the Ape Man,0.0
20371,Tarzan (Johnny Weissmuller series),Tarzan and His Mate,0.0
20374,USA: Land of Opportunities Collection,Manderlay,674918.0
20521,The Adventures of Antoine Doinel,L'amour en fuite,0.0
20524,Jarhead Collection,Jarhead,96889998.0
20588,Dracula (Hammer Series),The Brides of Dracula,0.0
20590,Wolf Creek Collection,Wolf Creek,27762648.0
20606,The Descent Collection,The Descent,0.0
20612,Harry Potter Collection,Harry Potter and the Goblet of Fire,895921036.0
20648,The Wild Geese Collection,The Wild Geese,0.0
20654,Frankenstein (Hammer Series),The Evil of Frankenstein,0.0
20656,The Chronicles of Narnia Collection,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",748806957.0
20680,Havoc Collection,Havoc,0.0
20688,Ivan The Terrible Collection,Иван Грозный. Сказ второй: Боярский заговор,0.0
20696,Johan Falk Collection,Livvakterna,0.0
20700,The Matt Helm Collection,The Ambushers,0.0
20712,Cheaper by the Dozen Collection,Cheaper by the Dozen 2,129181830.0
20715,The Dentist Collection,The Dentist,0.0
20727,Yamakasi - Collection,Yamakasi - Les samouraïs des temps modernes,0.0
20730,The Love Comes Softly Collection,Love's Enduring Promise,0.0
20733,The Vengeance Collection,친절한 금자씨,23803308.0
20775,District 13 Collection,Banlieue 13,9584131.0
20784,BloodRayne Collection,BloodRayne,2405420.0
20792,Hostel Collection,Hostel,80578934.0
