,titulo_original,pais
13930,The Matrix Revolutions,United States of America
13932,The Matrix Revolutions,Australia
13994,Father of the Bride,United States of America
14006,Bad Santa,Germany
14007,Bad Santa,United States of America
14024,Darkman,United States of America
14030,Europa,Denmark
14032,Europa,Spain
14034,Europa,Switzerland
14036,Europa,Germany
14038,Europa,France
14040,Europa,Sweden
14102,Tales from the Crypt,United Kingdom
14104,WarGames,United States of America
14108,Highlander II: The Quickening,Argentina
14109,Highlander II: The Quickening,France
14110,Highlander II: The Quickening,United Kingdom
14117,Kindergarten Cop,United States of America
14121,バトル・ロワイアル,Japan
14139,Teen Wolf,United States of America
14142,A Shot in the Dark,United Kingdom
14144,A Shot in the Dark,United States of America
14158,Leprechaun,United States of America
14164,Forbrydelsens element,Denmark
14172,Baisers volés,France
14178,Honey,United States of America
14187,The Lord of the Rings: The Return of the King,New Zealand
14188,The Lord of the Rings: The Return of the King,United States of America
14199,Cheaper by the Dozen,United States of America
14201,Beyond Re-Animator,Spain
14213,Pumping Iron,United States of America
14216,The Silencers,United States of America
14219,The Butterfly Effect,Canada
14220,The Butterfly Effect,United States of America
14239,You Got Served,United States of America
14240,Barbershop 2:  Back in Business,United States of America
14242,Un couple épatant,France
14243,Un couple épatant,Belgium
14244,The Lost Skeleton of Cadavra,United States of America
14253,Blacula,United States of America
14257,Scream Blacula Scream,United States of America
14259,Après la vie,France
14260,Après la vie,Belgium
14263,King Solomon's Mines,United States of America
14272,Dirty Dancing: Havana Nights,United States of America
14292,Agent Cody Banks 2: Destination London,United States of America
14297,Scooby-Doo 2: Monsters Unleashed,United States of America
14305,Dogville,Denmark
14306,Dogville,Finland
14307,Dogville,France
14308,Dogville,Germany
14309,Dogville,Italy
14310,Dogville,Netherlands
14311,Dogville,Norway
14312,Dogville,Sweden
14313,Dogville,United Kingdom
14818,Hellboy,United States of America
14848,The Prince & Me,Czech Republic
14851,The Prince & Me,United States of America
14908,Walking Tall,United States of America
14932,The Whole Ten Yards,United States of America
14986,Dawn of the Dead,Italy
14987,Dawn of the Dead,Japan
14988,Dawn of the Dead,United States of America
14992,Road to Bali,United States of America
14993,Kill Bill: Vol. 2,United States of America
15029,Mean Girls,United States of America
15041,Van Helsing,Czech Republic
15043,Van Helsing,United States of America
15077,Riget,Denmark
15083,100 Girls,United States of America
15086,28 Up,United Kingdom
15088,You Only Live Twice,United Kingdom
15097,Octopussy,United Kingdom
15101,Octopussy,United States of America
15121,Never Say Never Again,Germany
15125,Never Say Never Again,United Kingdom
15129,Never Say Never Again,United States of America
15229,Babylon 5: In the Beginning,United States of America
15237,Look Who's Talking Too,United States of America
15239,The Delta Force,Israel
15243,The Delta Force,United States of America
15255,Cat People,United States of America
15264,The Four Musketeers,Spain
15265,The Four Musketeers,Panama
15280,บางระจัน,Thailand
15286,Sniper,Peru
15287,Sniper,United States of America
15310,Babylon 5: A Call to Arms,United States of America
15318,Babylon 5: The River of Souls,United States of America
15326,Babylon 5: Thirdspace,United States of America
15334,Another Thin Man,United States of America
15336,The Thin Man Goes Home,United States of America
15339,Shadow of the Thin Man,United States of America
15343,After the Thin Man,United States of America
15346,Song of the Thin Man,United States of America
15351,Lammbock,Germany
15352,The Legend Fong Sai Yuk,Hong Kong
15355,Tremors 2: Aftershocks,United States of America
15371,Tremors 3: Back to Perfection,United States of America
15381,The Vampire Lovers,United Kingdom
15383,The Cheerleaders,United States of America
15384,Gekitotsu! Satsujin ken,Japan
15385,Satsujin ken 2,Japan
15387,Frankenstein Must Be Destroyed,United Kingdom
15389,Gidget,United States of America
15391,Tystnaden,Sweden
15399,Nattvardsgästerna,Sweden
15400,Såsom i en spegel,Sweden
15402,Monterey Pop,United States of America
15404,無間道,Hong Kong
15409,Robot Jox,United States of America
15413,Death Race 2000,United States of America
15416,Harper,United States of America
15421,I Kina spiser de hunde,Denmark
15433,Delta Force 2: The Colombian Connection,United States of America
15441,Arven,United Kingdom
15442,Arven,Denmark
15443,Arven,Sweden
15444,Arven,Norway
15445,DEAD OR ALIVE 犯罪者,Japan
15449,L'avventura,Italy
15451,L'avventura,France
15457,Die 1000 Augen des Dr. Mabuse,France
15458,Die 1000 Augen des Dr. Mabuse,Germany
15459,Die 1000 Augen des Dr. Mabuse,Italy
15484,Totally Fucked Up,United Kingdom
15486,Rupan sansei: Kariosutoro no shiro,Japan
15489,Citizen Toxie: The Toxic Avenger IV,United States of America
15491,Grey Gardens,United States of America
15492,Shrek 2,United States of America
15507,Harry Potter and the Prisoner of Azkaban,United Kingdom
15508,Harry Potter and the Prisoner of Azkaban,United States of America
15525,The Chronicles of Riddick,United States of America
15529,Garfield,United States of America
15538,Police Academy: Mission to Moscow,United States of America
15540,The Adventures of Sherlock Holmes,United States of America
15543,The Hound of the Baskervilles,United States of America
15547,Super Size Me,United States of America
15550,The Born Losers,United States of America
15556,人間の條件　第１部純愛篇／第２部激怒篇,Japan
15568,ゴジラ対メカゴジラ,Japan
15574,The Hitcher,United States of America
15583,"Now You See Him, Now You Don't",United States of America
15585,The Philadelphia Experiment,United States of America
15588,Revenge of the Pink Panther,United Kingdom
15590,Revenge of the Pink Panther,United States of America
15652,Taxi,France
15724,Taxi 3,France
15726,Lassie Come Home,United States of America
15729,Spider-Man 2,United States of America
15756,Before Sunset,United States of America
15768,Anchorman: The Legend of Ron Burgundy,United States of America
15769,A Cinderella Story,Canada
15772,A Cinderella Story,United States of America
15793,Potop,Poland
15802,The Bourne Supremacy,Germany
15806,The Bourne Supremacy,United States of America
15922,Guns of the Magnificent Seven,United States of America
15938,The Magnificent Seven Ride!,United States of America
15942,Terror by Night,United States of America
15946,Sherlock Holmes and the Secret Weapon,United States of America
15964,The Woman in Green,United States of America
15968,Dressed to Kill,United States of America
15972,Thunderbirds are GO,United Kingdom
15980,Thunderbird 6,United Kingdom
15988,PTU,Hong Kong
15994,Harold & Kumar Go to White Castle,United States of America
15998,The Princess Diaries 2: Royal Engagement,United States of America
16002,AVP: Alien vs. Predator,Canada
16004,AVP: Alien vs. Predator,Czech Republic
16006,AVP: Alien vs. Predator,Germany
16008,AVP: Alien vs. Predator,United Kingdom
16010,AVP: Alien vs. Predator,United States of America
16332,Without a Paddle,United States of America
16340,Exorcist: The Beginning,United States of America
16346,The Sting II,United States of America
16352,Benji: Off the Leash!,United States of America
16354,Anacondas: The Hunt for the Blood Orchid,United States of America
16374,The Mangler,United States of America
16380,Night of the Demons,United States of America
16386,Witchboard,United Kingdom
16387,Witchboard,United States of America
16388,Resident Evil: Apocalypse,United Kingdom
16389,Resident Evil: Apocalypse,United States of America
16390,Resident Evil: Apocalypse,Germany
16391,Resident Evil: Apocalypse,France
16392,Resident Evil: Apocalypse,Canada
16418,Class of Nuke 'Em High 2: Subhumanoid Meltdown,United States of America
16421,Basket Case 3,United States of America
16422,Basket Case 2,United States of America
16423,Epidemic,Denmark
16431,It's Alive,United States of America
16433,The Grudge,Japan
16435,The Grudge,United States of America
16493,Saw,United States of America
16505,The Incredibles,United States of America
16521,Seed of Chucky,Romania
16522,Seed of Chucky,United States of America
16527,Bridget Jones: The Edge of Reason,France
16530,Bridget Jones: The Edge of Reason,Germany
16533,Bridget Jones: The Edge of Reason,Ireland
16536,Bridget Jones: The Edge of Reason,United Kingdom
16539,Bridget Jones: The Edge of Reason,United States of America
16707,National Treasure,United States of America
16755,The SpongeBob SquarePants Movie,United States of America
16764,Ocean's Twelve,United States of America
16814,Blade: Trinity,United States of America
16886,That's Entertainment!,United States of America
16889,"That's Entertainment, Part II",United States of America
16892,That's Entertainment! III,United States of America
16898,The Invisible Man Returns,United States of America
16903,The Unknown,United States of America
16906,The Son of Kong,United States of America
16914,Werewolf of London,United States of America
16923,Topper,United States of America
16926,Why We Fight: Prelude to War,United States of America
16929,The Curse of the Cat People,United States of America
16931,Иван Грозный,Russia
16935,Road to Rio,United States of America
16938,Orphée,France
16947,Son of Paleface,United States of America
16950,The Belles of St. Trinian's,United Kingdom
16951,宮本武蔵,Japan
16954,続宮本武蔵　一乗寺の決闘,Japan
16957,宮本武蔵完結編　決闘巌流島,Japan
16962,人間の條件　第３部望郷篇／第４部戦雲篇,Japan
16971,人間の條件　完結篇,Japan
16989,L'eclisse,Italy
16992,L'eclisse,France
17025,Dracula: Prince of Darkness,United Kingdom
17027,Astérix le Gaulois,France
17028,Astérix le Gaulois,Belgium
17043,Astérix et Cléopâtre,France
17044,Astérix et Cléopâtre,Belgium
17059,Dracula Has Risen from the Grave,United Kingdom
17061,Taste the Blood of Dracula,United Kingdom
17062,Gamera tai Daimaju Jaiga,Japan
17065,Lo chiamavano Trinità...,Italy
17068,Scars of Dracula,United Kingdom
17069,Utvandrarna,Sweden
17071,Dr. Phibes Rises Again,United States of America
17072,Dr. Phibes Rises Again,United Kingdom
17075,Dracula A.D. 1972,United Kingdom
17076,Le grand blond avec une chaussure noire,France
17088,子連れ狼 子を貸し腕貸しつかまつる,Japan
17090,子連れ狼 三途の川の乳母車,Japan
17092,Il mio nome è Nessuno,Italy
17103,Emmanuelle,France
17107,Gone in 60 Seconds,United States of America
17111,The Adventures of the Wilderness Family,
17113,Dolemite,United States of America
17116,Les 12 travaux d'Astérix,France
17128,Emmanuelle 2: L'antivierge,France
17130,French Connection II,United States of America
17138,"Ирония судьбы, или С легким паром!",Russia
17141,女必殺拳,Japan
17145,Supervixens,United States of America
17146,Trilogy of Terror,United States of America
17150,Futureworld,United States of America
17154,Up!,United States of America
17155,The Rutles: All You Need Is Cash,
17156,The Hobbit,United States of America
17159,Les Bronzés font du ski,France
17161,Hadashi no Gen,Japan
17164,The Ewok Adventure,United States of America
17174,"Silent Night, Deadly Night",United States of America
17176,Anne of Green Gables,United States of America
17178,Astérix et la surprise de César,France
17190,Barbarian Queen,Argentina
17191,Barbarian Queen,United States of America
17206,Dèmoni,Italy
17209,Ewoks: The Battle for Endor,United States of America
17210,殭屍先生,Hong Kong
17219,警察故事,Hong Kong
17225,Astérix chez les Bretons,France
17233,Flodder,Netherlands
17234,英雄本色,Hong Kong
17243,Hell Comes to Frogtown,United States of America
17247,خانه‌ی دوست کجاست؟,Iran
17249,倩女幽魂,Hong Kong
17251,Ying hung boon sik II,Hong Kong
17263,機動警察パトレイバー 劇場版,Japan
17266,35 Up,United Kingdom
17268,阿飛正傳,Hong Kong
17280,Begotten,United States of America
17282,Mannequin Two: On the Move,United States of America
17286,Barbarian Queen II: The Empress Strikes Back,Mexico
17287,Barbarian Queen II: The Empress Strikes Back,United States of America
17292,زندگی و دیگر هیچ,Iran
17296,Änglagård,Norway
17297,Änglagård,Sweden
17298,Änglagård,Denmark
17305,Return to Lonesome Dove,United States of America
17307,American Ninja 5,United States of America
17311,白髮魔女傳,Hong Kong
17321,Cyborg 2,United States of America
17327,Fong Sai Yuk juk jaap,Hong Kong
17331,Fortress,Australia
17332,Fortress,United States of America
17349,Leningrad Cowboys Meet Moses,Czech Republic
17350,Leningrad Cowboys Meet Moses,Germany
17351,Leningrad Cowboys Meet Moses,France
17352,Leningrad Cowboys Meet Moses,Poland
17353,Leningrad Cowboys Meet Moses,United States of America
17364,Philadelphia Experiment II,United States of America
17366,The Snapper,United Kingdom
17370,71 Fragmente einer Chronologie des Zufalls,Germany
17372,71 Fragmente einer Chronologie des Zufalls,Austria
17374,赤裸羔羊,Hong Kong
17380,Darkman II: The Return of Durant,United States of America
17384,Major League II,United States of America
17386,Pumpkinhead II: Blood Wings,United States of America
17390,Gonin,Japan
17394,ストリートファイター II MOVIE,Japan
17406,Conte d'été,France
17418,Jack Frost,United States of America
17421,Jägarna,Sweden
17424,Kauas pilvet karkaavat,Finland
17425,Pusher,Denmark
17429,Bikini Summer III: South Beach Heat,
17430,Cremaster 5,United States of America
17431,Hamilton,Italy
17434,Hamilton,Morocco
17437,Hamilton,Norway
17440,Hamilton,Sweden
17503,The Lion King 2: Simba's Pride,Australia
17504,The Lion King 2: Simba's Pride,United States of America
17521,From Dusk Till Dawn 3: The Hangman's Daughter,United States of America
17530,From Dusk Till Dawn 2: Texas Blood Money,United States of America
17542,"Torrente, el brazo tonto de la ley",Spain
17546,Riget II,Denmark
17550,Bang Boom Bang - Ein todsicheres Ding,Germany
17559,Batman & Mr. Freeze: SubZero,United States of America
17571,Addams Family Reunion,United States of America
17591,修羅雪姫,Japan
17594,Candyman: Day of the Dead,United States of America
17598,The Batman Superman Movie: World's Finest,United States of America
17604,新世紀エヴァンゲリオン劇場版,Japan
17631,Freeway II: Confessions of a Trickbaby,United States of America
17637,Kirikou et la Sorcière,France
17638,Kirikou et la Sorcière,Belgium
17639,Kirikou et la Sorcière,Luxembourg
17685,The Prophecy 3: The Ascent,United States of America
17688,Taxi 2,France
17706,Особенности национальной рыбалки,Russia
17710,Cruel Intentions 2,United States of America
17719,Guest House Paradiso,United Kingdom
17720,If These Walls Could Talk 2,United States of America
17724,An Extremely Goofy Movie,Australia
17725,An Extremely Goofy Movie,United States of America
17730,2046,Germany
17733,2046,Hong Kong
17736,2046,China
17739,2046,France
17742,2046,Italy
17970,Cremaster 2,
17971,暗戰,Hong Kong
17979,The Wog Boy,Australia
17983,女囚701号/さそり,Japan
17984,Joshuu sasori: Dai-41 zakkyo-bô,Japan
17988,Batman Beyond: Return of the Joker,United States of America
17992,Mimic 2,United States of America
18004,Paradise Lost 2: Revelations,United States of America
18005,Gamle mænd i nye biler,Denmark
18017,Astérix & Obélix Mission Cléopâtre,France
18022,Astérix & Obélix Mission Cléopâtre,Germany
18337,ゴジラ・モスラ・キングギドラ大怪獣総進撃,Japan
18341,American Psycho 2: All American Girl,United States of America
18343,DEAD OR ALIVE 2　逃亡者,Japan
18352,Cube 2: Hypercube,Canada
18358,엽기적인 그녀,South Korea
18364,Sprängaren,Sweden
18366,조폭 마누라,South Korea
18368,Dead or Alive: Final,Japan
18398,Fubar,Canada
18404,복수는 나의 것,South Korea
18410,The Foreigner,Poland
18414,The Foreigner,United States of America
18442,Den tredje vågen,Finland
18447,Den tredje vågen,Sweden
18502,The Lion King 1½,Australia
18503,The Lion King 1½,United States of America
18520,Cremaster 3,
18521,Herr Lehmann,Germany
18523,呪怨,Japan
18524,呪怨2 ビデオ版,Japan
18525,Tremors 4: The Legend Begins,United States of America
18529,Bring It On Again,United States of America
18530,Les Rivières pourpres 2 : Les Anges de l'apocalypse,France
18533,Les Rivières pourpres 2 : Les Anges de l'apocalypse,United Kingdom
18536,Les Rivières pourpres 2 : Les Anges de l'apocalypse,Italy
18692,Sniper 2,United States of America
18693,Batoru rowaiaru II: Chinkonka,Japan
18695,赤裸特工,Hong Kong
18701,イノセンス,Japan
18707,Tasogare Seibei,Japan
18710,千機變,Hong Kong
18716,Ginger Snaps 2: Unleashed,Canada
18720,Villmark,Norway
18732,呪怨じゅおん,Japan
18733,올드보이,South Korea
18741,Ginger Snaps Back: The Beginning,Canada
18753,着信アリ,Japan
18755,犬夜叉 鏡の中の夢幻城,Japan
18759,Starship Troopers 2: Hero of the Federation,United States of America
18767,呪怨2,Japan
18781,Ong Bak,Thailand
18789,無間道II,China
18793,無間道II,Hong Kong
18797,無間道II,Singapore
18837,Saints and Soldiers,United States of America
18847,Open Water,United States of America
18849,無間道III: 終極無間,Hong Kong
18852,The Ring Two,United States of America
18861,The Yes Men,United States of America
18863,Бумер,Russia
18867,あずみ,Japan
18877,Cruel Intentions 3,United States of America
18886,What the #$*! Do We (K)now!?,United States of America
18889,Gin gwai 2,Hong Kong
18893,Gin gwai 2,Singapore
18905,Hellraiser: Inferno,United States of America
18921,Meet the Fockers,United States of America
18929,White Noise,Canada
18930,White Noise,United Kingdom
18931,White Noise,United States of America
19010,Kaijūtō no Kessen: Gojira no Musuko,Japan
19011,仁義なき戦い,Japan
19014,L'armata Brancaleone,Spain
19016,L'armata Brancaleone,France
19018,L'armata Brancaleone,Italy
19038,アップルシード,Japan
19062,Pippi Långstrump på de sju haven,Germany
19063,Pippi Långstrump på de sju haven,Sweden
19074,På rymmen med Pippi Långstrump,Germany
19075,På rymmen med Pippi Långstrump,Sweden
19076,Boys Town,United States of America
19079,Beastmaster 2: Through the Portal of Time,United States of America
19087,Dr. Who and the Daleks,United Kingdom
19089,Are We There Yet?,United States of America
19101,Alone in the Dark,Canada
19103,Alone in the Dark,Germany
19105,Alone in the Dark,United States of America
19221,Boogeyman,United States of America
19269,Die Ehe der Maria Braun,Germany
19293,Constantine,Germany
19296,Constantine,United States of America
19455,Son of the Mask,Germany
19456,Son of the Mask,United States of America
19471,Ночной дозор,Russia
19495,Topper Returns,United States of America
19499,"No Retreat, No Surrender",Hong Kong
19500,"No Retreat, No Surrender",United States of America
19501,The ChubbChubbs!,United States of America
19504,The Three Musketeers,United States of America
19512,Domicile Conjugal,France
19518,Germania anno zero,Italy
19530,La noche del terror ciego,Portugal
19531,La noche del terror ciego,Spain
19534,Be Cool,United States of America
19550,ゴジラ・エビラ・モスラ　南海の大決闘,Japan
19554,ゴジラvsメカゴジラ,Japan
19559,"Oh, God! You Devil",
19560,Cube Zero,Canada
19587,Vares – Yksityisetsivä,Finland
19590,Miss Congeniality 2: Armed and Fabulous,United States of America
19596,Zu: The Warriors from the Magic Mountain,Hong Kong
19606,Kaijū Daisensō,Japan
19614,Sin City,United States of America
19623,Il fiore delle mille e una notte,France
19624,Il fiore delle mille e una notte,Italy
19629,リング０　バースデイ,Japan
19630,Love Comes Softly,United States of America
19654,State Property 2,United States of America
19658,xXx: State of the Union,United States of America
19676,新座頭市　破れ！唐人剣,Hong Kong
19677,新座頭市　破れ！唐人剣,Japan
19694,Земля,Ukraine
19695,バンパイアハンターD,Japan
19698,Star Wars: Episode III - Revenge of the Sith,United States of America
19701,The Invisible Woman,United States of America
19704,Madagascar,United States of America
19734,Dominion: Prequel to the Exorcist,United States of America
19736,The Sisterhood of the Traveling Pants,United States of America
19754,ゴジラvsビオランテ,Japan
19758,Batman Begins,United Kingdom
19761,Batman Begins,United States of America
19866,Gojira: Fainaru uôzu,Japan
19881,Herbie Fully Loaded,United States of America
19891,Land of the Dead,Canada
19896,Land of the Dead,France
19901,Land of the Dead,United States of America
19951,Nybyggarna,Sweden
19955,Amici miei,Italy
19956,Gojira tai Hedora,Japan
19962,Billion Dollar Brain,United Kingdom
19963,Fantastic Four,Germany
19964,Fantastic Four,United States of America
20003,Les Poupées Russes,France
20004,Les Poupées Russes,United Kingdom
20039,The Devil's Rejects,Germany
20041,The Devil's Rejects,United States of America
20087,여고괴담,South Korea
20088,The Dukes of Hazzard,United States of America
20100,Deuce Bigalow: European Gigolo,United States of America
20112,Pusher II,Denmark
20113,Pusher II,United Kingdom
20118,Doomed to Die,United States of America
20122,Astérix & Obélix contre César,France
20154,Transporter 2,France
20217,Revenge of the Ninja,United States of America
20241,警察故事續集,Hong Kong
20247,新警察故事,China
20250,新警察故事,Hong Kong
20271,Waiting...,United States of America
20275,Green Street Hooligans,United Kingdom
20276,Green Street Hooligans,United States of America
20279,Final Fantasy VII: Advent Children,Japan
20283,Into the Blue,United States of America
20295,The Curse of the Were-Rabbit,United Kingdom
20296,The Curse of the Were-Rabbit,United States of America
20311,여고괴담 3: 여우계단,South Korea
20312,Goal!: The Dream Begins,United Kingdom
20314,Goal!: The Dream Begins,United States of America
20324,Star Wreck: In the Pirkinning,Finland
20327,Left Behind III: World at War,
20333,The Legend of Zorro,Mexico
20336,The Legend of Zorro,United States of America
20357,Saw II,United States of America
20362,"Un genio, due compari, un pollo",Italy
20368,American Pie Presents: Band Camp,United States of America
20369,Tarzan the Ape Man,United States of America
20371,Tarzan and His Mate,United States of America
20374,Manderlay,Denmark
20375,Manderlay,France
20376,Manderlay,Germany
20377,Manderlay,Italy
20378,Manderlay,Netherlands
20379,Manderlay,Sweden
20380,Manderlay,United Kingdom
20521,L'amour en fuite,France
20524,Jarhead,Germany
20528,Jarhead,United States of America
20588,The Brides of Dracula,United Kingdom
20590,Wolf Creek,Australia
20606,The Descent,United Kingdom
20612,Harry Potter and the Goblet of Fire,United Kingdom
20614,Harry Potter and the Goblet of Fire,United States of America
20648,The Wild Geese,United Kingdom
20649,The Wild Geese,Switzerland
20654,The Evil of Frankenstein,United Kingdom
20656,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",United Kingdom
20658,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",United States of America
20680,Havoc,Germany
20682,Havoc,United States of America
20688,Иван Грозный. Сказ второй: Боярский заговор,Russia
20689,Иван Грозный. Сказ второй: Боярский заговор,Soviet Union
20696,Livvakterna,Sweden
20700,The Ambushers,United States of America
20712,Cheaper by the Dozen 2,United States of America
20715,The Dentist,United States of America
20727,Yamakasi - Les samouraïs des temps modernes,France
20730,Love's Enduring Promise,
20733,친절한 금자씨,South Korea
20775,Banlieue 13,France
20784,BloodRayne,United States of America
20792,Hostel,United States of America
20798,Hoodwinked!,United States of America
20807,Underworld: Evolution,United States of America
20831,Casper Meets Wendy,United States of America
20858,A計劃,Hong Kong
20866,Vinci,Poland
20869,The Quatermass Xperiment,United Kingdom
20871,Hellraiser: Hellseeker,United States of America
20872,Hellraiser: Hellseeker,Canada
20895,Daikaijû kûchûsen: Gamera tai Gyaosu,Japan
20899,8MM 2,United States of America
20911,Water,Canada
20923,Uuno Turhapuro armeijan leivissä,Finland
20924,Les Bronzés,France
20926,Big Momma's House 2,United States of America
20944,Nanny McPhee,France
20945,Nanny McPhee,United Kingdom
20946,Nanny McPhee,United States of America
20998,The Comedians of Comedy,
21000,Final Destination 3,Canada
21001,Final Destination 3,Germany
21002,Final Destination 3,United States of America
21061,Troll,Italy
21062,Troll,United States of America
21069,Curious George,United States of America
21085,Pulse,United States of America
21089,黑社會,Hong Kong
21107,Ultimate Avengers,United States of America
21115,Ice Age: The Meltdown,United States of America
21123,The Prince & Me 2: The Royal Wedding,United States of America
21129,Leprechaun 2,United States of America
21131,Leprechaun 3,United States of America
21134,Leprechaun 4: In Space,United States of America
21142,Leprechaun in the Hood,United States of America
21143,Laitakaupungin valot,Finland
21147,The Hills Have Eyes,France
21163,Inspector Clouseau,United Kingdom
21171,Son of the Pink Panther,United States of America
21173,Son of the Pink Panther,Italy
21175,Urban Legends: Bloody Mary,United States of America
21179,Basic Instinct 2,Germany
21181,Basic Instinct 2,United Kingdom
21183,Basic Instinct 2,United States of America
21251,Scary Movie 4,United States of America
21252,Silent Hill,Canada
21253,Silent Hill,France
21254,Silent Hill,Japan
21255,Silent Hill,United States of America
21284,ต้มยำกุ้ง,Thailand
21288,ต้มยำกุ้ง,Australia
21380,Mission: Impossible III,China
21386,Mission: Impossible III,Germany
21392,Mission: Impossible III,United States of America
21758,Die Nibelungen: Siegfried,Germany
21764,Die Nibelungen: Kriemhilds Rache,Germany
21770,隠し剣 鬼の爪,Japan
21774,The Da Vinci Code,United States of America
21778,The Da Vinci Code,Malta
21782,The Da Vinci Code,France
21786,The Da Vinci Code,United Kingdom
21902,X-Men: The Last Stand,Canada
21903,X-Men: The Last Stand,United Kingdom
21904,X-Men: The Last Stand,United States of America
22034,Cars,United States of America
22066,Pirates of the Caribbean: Dead Man's Chest,United States of America
22102,Clerks II,United States of America
22104,See No Evil,United States of America
22108,Hollow Man II,United States of America
22120,High School Musical,United States of America
22125,Jack Frost 2: Revenge of the Mutant Killer Snowman,United States of America
22126,The Fast and the Furious: Tokyo Drift,Japan
22128,The Fast and the Furious: Tokyo Drift,United States of America
22142,Garfield: A Tail of Two Kitties,United Kingdom
22144,Garfield: A Tail of Two Kitties,United States of America
22178,Uno sceriffo extraterrestre - poco extra e molto terrestre,Italy
22182,Superman Returns,United States of America
22230,Curse of the Pink Panther,United Kingdom
22231,Curse of the Pink Panther,United States of America
22242,Mimic: Sentinel,United States of America
22248,कृष,
22250,여고괴담 두번째 이야기,South Korea
22253,Night at the Museum,United States of America
22256,Night at the Museum,United Kingdom
22373,Crank,United States of America
22409,Step Up,United States of America
22425,Bon Cop Bad Cop,Canada
22437,Jin doi hou haap cyun,Hong Kong
22440,笑傲江湖II東方不敗,Hong Kong
22448,Der siebente Kontinent,Austria
22449,Vixen!,United States of America
22458,Jackass Number Two,United States of America
22461,The Land Before Time II: The Great Valley Adventure,United States of America
22464,Open Season,United States of America
22467,The Texas Chainsaw Massacre: The Beginning,United States of America
22472,The Grudge 2,United States of America
22490,The Marine,United States of America
22514,Feast,United States of America
22523,Flags of Our Fathers,United States of America
22535,あずみ２　Death or Love,Japan
22537,Saw III,United States of America
22546,Corto Maltese : La cour secrète des Arcanes,Italy
22548,Corto Maltese : La cour secrète des Arcanes,France
22562,The Butterfly Effect 2,United States of America
22571,The Santa Clause 3: The Escape Clause,United States of America
22583,Casino Royale,Italy
22589,Casino Royale,Czech Republic
22591,Casino Royale,Germany
22673,Happy Feet,Australia
22677,"OSS 117 : Le Caire, nid d'espions",France
22689,Reeker,United States of America
22707,Van Wilder 2: The Rise of Taj,United States of America
22708,Dracula's Daughter,United States of America
22711,She,United Kingdom
22714,黑社会2：以和为贵,Hong Kong
22722,Rocky Balboa,United States of America
22730,Another Gay Movie,United States of America
22738,Loose Change: 2nd Edition,United States of America
22739,Il Decameron,France
22741,Il Decameron,Germany
22743,Il Decameron,Italy
22793,Letters from Iwo Jima,Japan
22795,Letters from Iwo Jima,United States of America
22857,Happily N'Ever After,Germany
22858,Happily N'Ever After,United States of America
22897,Stomp the Yard,United States of America
22899,Arthur et les Minimoys,France
22915,American Pie Presents: The Naked Mile,United States of America
22919,Il ritorno di Don Camillo,France
22921,Il ritorno di Don Camillo,Italy
22939,Don Camillo,France
22941,Don Camillo,Italy
22951,Le Testament d'Orphée,France
22955,Le sang d'un poète,France
22957,49 Up,United Kingdom
22958,Seven Up!,United Kingdom
22959,7 Plus Seven,United Kingdom
22960,Smokin' Aces,France
22961,Smokin' Aces,United Kingdom
22962,Smokin' Aces,United States of America
23020,The Messengers,United States of America
23038,Hannibal Rising,United Kingdom
23041,Hannibal Rising,Czech Republic
23044,Hannibal Rising,France
23047,Hannibal Rising,Italy
23290,Cocaine Cowboys,United States of America
23292,"Wake Up, Ron Burgundy: The Lost Movie",United States of America
23294,殺破狼,Hong Kong
23295,殺破狼,Macao
23318,Trailer Park Boys: The Movie,Canada
23319,Ghost Rider,United States of America
23320,Ghost Rider,Australia
23375,Kidulthood,United Kingdom
23378,Like Mike 2: Streetball,United States of America
23381,少林卅六房,Hong Kong
23383,The Trial of Billy Jack,
23385,Emil i Lönneberga,Germany
23386,Emil i Lönneberga,Sweden
23393,I racconti di Canterbury,France
23395,I racconti di Canterbury,Italy
23409,2001 Maniacs,United States of America
23415,Teen Wolf Too,United States of America
23418,Pusher 3,Denmark
23424,Babylon 5: The Gathering,United States of America
23433,White Noise 2: The Light,Canada
23434,White Noise 2: The Light,United States of America
23449,Atlantis: Milo's Return,United States of America
23454,The Ultimate Gift,United States of America
23466,300,United States of America
23487,The Hills Have Eyes II,United States of America
23499,武士の一分,Japan
23502,Are We Done Yet?,United States of America
23514,Vacancy,United States of America
23518,Benny's Video,Austria
23522,Benny's Video,Switzerland
23542,Mr. Bean's Holiday,United Kingdom
23545,Mr. Bean's Holiday,United States of America
23548,Mr. Bean's Holiday,France
23551,Mr. Bean's Holiday,Germany
23590,The Condemned,United States of America
23602,Spider-Man 3,United States of America
23620,21 Up,United Kingdom
23622,Maniac Cop,United States of America
23625,Дневной дозор,Russia
23631,This Is England,United Kingdom
23639,28 Weeks Later,Spain
23640,28 Weeks Later,United Kingdom
23675,Shrek the Third,United States of America
23685,Pirates of the Caribbean: At World's End,United States of America
23694,The Librarian: Return to King Solomon's Mines,United States of America
23703,The Librarian: Quest for the Spear,United States of America
23808,Fay Grim,United States of America
23810,Ocean's Thirteen,United States of America
23834,ゴジラvsモスラ,Japan
23838,ゴジラvsデストロイア,Japan
