,titulo_original,pais
1666,"Il buono, il brutto, il cattivo",Italy
1667,"Il buono, il brutto, il cattivo",Spain
1668,"Il buono, il brutto, il cattivo",Germany
1681,Return of the Jedi,United States of America
1687,Alien,United States of America
1689,Alien,United Kingdom
1719,Army of Darkness,United States of America
1731,Psycho,United States of America
1740,The Blues Brothers,United States of America
1744,The Godfather: Part II,United States of America
1760,A Grand Day Out,United Kingdom
1765,The Sting,United States of America
1768,The Terminator,United Kingdom
1769,The Terminator,United States of America
1798,Chinatown,United States of America
1834,Evil Dead II,United States of America
1840,Back to the Future,United States of America
1852,Highlander,United Kingdom
1853,Highlander,United States of America
1864,Fantasia,United States of America
1867,Koyaanisqatsi,United States of America
1871,Indiana Jones and the Last Crusade,United States of America
1883,Alien³,United Kingdom
1884,Alien³,United States of America
1895,Amityville: It's About Time,United States of America
1899,Amityville 3-D,United States of America
1901,Amityville: Dollhouse,United States of America
1904,Amityville: A New Generation,United States of America
1905,Amityville II: The Possession,Italy
1906,Amityville II: The Possession,Mexico
1907,Amityville II: The Possession,United States of America
1911,The Amityville Horror,United States of America
1914,The Amityville Curse,Canada
1916,The Amityville Curse,United States of America
1922,The Blob,United States of America
1926,Bride of Frankenstein,United States of America
1928,Candyman,United States of America
1937,Carrie,United States of America
1939,A Nightmare on Elm Street,United States of America
1941,The Omen,United Kingdom
1944,The Omen,United States of America
1965,Breaking the Waves,Denmark
1966,Breaking the Waves,France
1967,Breaking the Waves,Iceland
1968,Breaking the Waves,Netherlands
1969,Breaking the Waves,Norway
1970,Breaking the Waves,Sweden
1989,Star Trek: First Contact,United States of America
1997,Jingle All the Way,United States of America
2001,Paradise Lost: The Child Murders at Robin Hood Hills,United States of America
2003,101 Dalmatians,United Kingdom
2004,101 Dalmatians,United States of America
2011,Die Hard 2,United States of America
2023,Star Trek: The Motion Picture,United States of America
2026,Star Trek VI: The Undiscovered Country,United States of America
2030,Star Trek V: The Final Frontier,United States of America
2034,Star Trek II: The Wrath of Khan,United States of America
2038,Star Trek III: The Search for Spock,United States of America
2046,Star Trek IV: The Voyage Home,United States of America
2050,Batman Returns,United Kingdom
2051,Batman Returns,United States of America
2058,Young Guns,United States of America
2068,Young Guns II,United States of America
2070,Grease,United States of America
2072,Grease 2,United States of America
2077,Under Siege,France
2078,Under Siege,United States of America
2093,Jaws,United States of America
2099,Jaws 2,United States of America
2101,Jaws 3-D,United States of America
2107,Scream,United States of America
2113,Turbulence,United States of America
2119,警察故事4之簡單任務,Australia
2124,警察故事4之簡單任務,Hong Kong
2129,警察故事4之簡單任務,Russia
2134,警察故事4之簡單任務,United States of America
2239,McHale's Navy,United States of America
2248,Vegas Vacation,United States of America
2250,The Saint,United States of America
2280,The Van,Ireland
2281,The Van,United Kingdom
2284,Turbo: A Power Rangers Movie,Japan
2285,Turbo: A Power Rangers Movie,United States of America
2320,Anaconda,Brazil
2321,Anaconda,Peru
2322,Anaconda,United States of America
2374,Austin Powers: International Man of Mystery,Germany
2375,Austin Powers: International Man of Mystery,United States of America
2392,Warriors of Virtue,China
2394,Warriors of Virtue,United States of America
2440,Nowhere,United States of America
2441,Nowhere,France
2452,The Lost World: Jurassic Park,United States of America
2458,Shiloh,United States of America
2466,Speed 2: Cruise Control,United States of America
2478,Batman & Robin,United Kingdom
2479,Batman & Robin,United States of America
2490,Tetsuo II: Body Hammer,Japan
2494,Men in Black,United States of America
2518,Conan the Barbarian,United States of America
2524,George of the Jungle,United States of America
2540,Air Bud,Canada
2541,Air Bud,United States of America
2546,Free Willy 3: The Rescue,United States of America
2552,Mimic,United States of America
2564,The Hunt for Red October,United States of America
2582,Kiss the Girls,United States of America
2598,Wishmaster,United States of America
2601,I Know What You Did Last Summer,United States of America
2610,Bean,United Kingdom
2611,Bean,United States of America
2616,Starship Troopers,United States of America
2628,Mortal Kombat: Annihilation,United States of America
2634,Alien: Resurrection,United States of America
2640,Les Boys,Canada
2646,Home Alone 3,United States of America
2654,Scream 2,United States of America
2662,Tomorrow Never Dies,United Kingdom
2667,Tomorrow Never Dies,United States of America
2692,The Postman,United States of America
2700,3 Ninjas: High Noon at Mega Mountain,United States of America
2727,The Prophecy II,United States of America
2733,Blues Brothers 2000,United States of America
2741,U.S. Marshals,United States of America
2747,Wild Things,United States of America
2748,Barney's Great Adventure,United States of America
2750,The Odd Couple II,United States of America
2754,Species II,United States of America
2757,Major League: Back to the Minors,United States of America
2761,Henry Fool,United States of America
2765,Mulan,United States of America
2777,The X Files,Canada
2778,The X Files,United States of America
2789,Doctor Dolittle,United States of America
2798,Lethal Weapon 4,United States of America
2843,The French Connection,United States of America
2861,Rocky,United States of America
2862,A Nightmare on Elm Street Part 2: Freddy's Revenge,United States of America
2864,A Nightmare on Elm Street 3: Dream Warriors,United States of America
2868,A Nightmare on Elm Street 4: The Dream Master,United States of America
2870,A Nightmare on Elm Street 5: The Dream Child,United States of America
2872,Freddy's Dead: The Final Nightmare,United States of America
2875,Friday the 13th,United States of America
