,titulo_original,duracion,año_realizacion
1871,Indiana Jones and the Last Crusade,127.0,1989
1883,Alien³,114.0,1992
1895,Amityville: It's About Time,91.0,1992
1899,Amityville 3-D,105.0,1983
1901,Amityville: Dollhouse,93.0,1996
1904,Amityville: A New Generation,90.0,1993
1905,Amityville II: The Possession,104.0,1982
1911,The Amityville Horror,117.0,1979
1914,The Amityville Curse,91.0,1989
1922,The Blob,86.0,1958
1926,Bride of Frankenstein,75.0,1935
1928,Candyman,99.0,1992
1937,Carrie,98.0,1976
1939,A Nightmare on Elm Street,91.0,1984
1941,The Omen,111.0,1976
1965,Breaking the Waves,159.0,1996
1989,Star Trek: First Contact,111.0,1996
1997,Jingle All the Way,89.0,1996
2001,Paradise Lost: The Child Murders at Robin Hood Hills,150.0,1996
2003,101 Dalmatians,103.0,1996
2011,Die Hard 2,124.0,1990
2023,Star Trek: The Motion Picture,132.0,1979
2026,Star Trek VI: The Undiscovered Country,113.0,1991
2030,Star Trek V: The Final Frontier,107.0,1989
2034,Star Trek II: The Wrath of Khan,113.0,1982
2038,Star Trek III: The Search for Spock,105.0,1984
2046,Star Trek IV: The Voyage Home,119.0,1986
2050,Batman Returns,126.0,1992
2058,Young Guns,107.0,1988
2068,Young Guns II,132.0,1990
2070,Grease,110.0,1978
2072,Grease 2,115.0,1982
2077,Under Siege,103.0,1992
2093,Jaws,124.0,1975
2099,Jaws 2,116.0,1978
2101,Jaws 3-D,99.0,1983
2107,Scream,111.0,1996
2113,Turbulence,100.0,1997
2119,警察故事4之簡單任務,107.0,1996
2239,McHale's Navy,108.0,1997
2248,Vegas Vacation,93.0,1997
2250,The Saint,116.0,1997
2280,The Van,100.0,1996
2284,Turbo: A Power Rangers Movie,99.0,1997
2320,Anaconda,89.0,1997
2374,Austin Powers: International Man of Mystery,94.0,1997
2392,Warriors of Virtue,103.0,1997
2440,Nowhere,82.0,1997
2452,The Lost World: Jurassic Park,129.0,1997
2458,Shiloh,93.0,1996
2466,Speed 2: Cruise Control,121.0,1997
2478,Batman & Robin,125.0,1997
2490,Tetsuo II: Body Hammer,83.0,1992
2494,Men in Black,98.0,1997
2518,Conan the Barbarian,129.0,1982
2524,George of the Jungle,92.0,1997
2540,Air Bud,98.0,1997
2546,Free Willy 3: The Rescue,86.0,1997
2552,Mimic,105.0,1997
2564,The Hunt for Red October,134.0,1990
2582,Kiss the Girls,115.0,1997
2598,Wishmaster,90.0,1997
2601,I Know What You Did Last Summer,100.0,1997
2610,Bean,85.0,1997
2616,Starship Troopers,129.0,1997
2628,Mortal Kombat: Annihilation,95.0,1997
2634,Alien: Resurrection,109.0,1997
2640,Les Boys,107.0,1997
2646,Home Alone 3,102.0,1997
2654,Scream 2,120.0,1997
2662,Tomorrow Never Dies,119.0,1997
2692,The Postman,177.0,1997
2700,3 Ninjas: High Noon at Mega Mountain,93.0,1998
2727,The Prophecy II,87.0,1998
2733,Blues Brothers 2000,123.0,1998
2741,U.S. Marshals,131.0,1998
2747,Wild Things,108.0,1998
2748,Barney's Great Adventure,76.0,1998
