,titulo_original,duracion,año_realizacion
17092,Il mio nome è Nessuno,117.0,1973
17100,Walking Tall,125.0,1973
17103,Emmanuelle,89.0,1974
17107,Gone in 60 Seconds,105.0,1974
17111,The Adventures of the Wilderness Family,105.0,1975
17113,Dolemite,90.0,1975
17116,Les 12 travaux d'Astérix,82.0,1976
17128,Emmanuelle 2: L'antivierge,84.0,1975
17130,French Connection II,119.0,1975
17138,"Ирония судьбы, или С легким паром!",184.0,1975
17141,女必殺拳,86.0,1974
17145,Supervixens,106.0,1975
17146,Trilogy of Terror,72.0,1975
17150,Futureworld,104.0,1976
17154,Up!,80.0,1976
17155,The Rutles: All You Need Is Cash,76.0,1978
17156,The Hobbit,77.0,1977
17159,Les Bronzés font du ski,90.0,1979
17161,Hadashi no Gen,83.0,1983
17164,The Ewok Adventure,96.0,1985
17174,"Silent Night, Deadly Night",79.0,1984
17176,Anne of Green Gables,199.0,1985
17178,Astérix et la surprise de César,79.0,1985
17190,Barbarian Queen,70.0,1985
17206,Dèmoni,88.0,1985
17209,Ewoks: The Battle for Endor,100.0,1985
17210,殭屍先生,96.0,1985
17219,警察故事,101.0,1985
17225,Astérix chez les Bretons,79.0,1986
17233,Flodder,111.0,1986
17234,英雄本色,95.0,1986
17243,Hell Comes to Frogtown,88.0,1988
17247,خانه‌ی دوست کجاست؟,83.0,1987
17249,倩女幽魂,98.0,1987
17251,Ying hung boon sik II,105.0,1987
17263,機動警察パトレイバー 劇場版,100.0,1989
17266,35 Up,123.0,1991
17268,阿飛正傳,91.0,1990
17280,Begotten,78.0,1990
17282,Mannequin Two: On the Move,95.0,1991
17286,Barbarian Queen II: The Empress Strikes Back,80.0,1992
17292,زندگی و دیگر هیچ,95.0,1992
17296,Änglagård,127.0,1992
17305,Return to Lonesome Dove,340.0,1993
17307,American Ninja 5,102.0,1993
17311,白髮魔女傳,92.0,1993
17321,Cyborg 2,99.0,1993
17327,Fong Sai Yuk juk jaap,95.0,1993
17331,Fortress,95.0,1992
17349,Leningrad Cowboys Meet Moses,94.0,1994
17364,Philadelphia Experiment II,97.0,1993
17366,The Snapper,91.0,1993
17370,71 Fragmente einer Chronologie des Zufalls,100.0,1994
17374,赤裸羔羊,100.0,1992
17380,Darkman II: The Return of Durant,93.0,1995
17384,Major League II,105.0,1994
17386,Pumpkinhead II: Blood Wings,88.0,1994
17390,Gonin,109.0,1995
17394,ストリートファイター II MOVIE,102.0,1994
17406,Conte d'été,113.0,1996
17418,Jack Frost,89.0,1997
17421,Jägarna,113.0,1996
17424,Kauas pilvet karkaavat,96.0,1996
17425,Pusher,105.0,1996
17429,Bikini Summer III: South Beach Heat,87.0,1997
17430,Cremaster 5,55.0,1997
17431,Hamilton,122.0,1998
17503,The Lion King 2: Simba's Pride,81.0,1998
17521,From Dusk Till Dawn 3: The Hangman's Daughter,94.0,1999
17530,From Dusk Till Dawn 2: Texas Blood Money,88.0,1999
17542,"Torrente, el brazo tonto de la ley",97.0,1998
17546,Riget II,286.0,1997
17550,Bang Boom Bang - Ein todsicheres Ding,110.0,1999
17559,Batman & Mr. Freeze: SubZero,70.0,1998
17571,Addams Family Reunion,91.0,1998
17591,修羅雪姫,97.0,1973
17594,Candyman: Day of the Dead,93.0,1999
17598,The Batman Superman Movie: World's Finest,64.0,1998
17604,新世紀エヴァンゲリオン劇場版,87.0,1997
17631,Freeway II: Confessions of a Trickbaby,97.0,1999
17637,Kirikou et la Sorcière,70.0,1998
17685,The Prophecy 3: The Ascent,103.0,2000
17688,Taxi 2,82.0,2000
17706,Особенности национальной рыбалки,95.0,1998
17710,Cruel Intentions 2,87.0,2000
17719,Guest House Paradiso,89.0,1999
17720,If These Walls Could Talk 2,96.0,2000
17724,An Extremely Goofy Movie,79.0,2000
17730,2046,129.0,2004
17970,Cremaster 2,79.0,1999
17971,暗戰,93.0,1999
17979,The Wog Boy,92.0,2000
17983,女囚701号/さそり,87.0,1972
17984,Joshuu sasori: Dai-41 zakkyo-bô,90.0,1972
17988,Batman Beyond: Return of the Joker,74.0,2000
17992,Mimic 2,82.0,2001
18004,Paradise Lost 2: Revelations,130.0,2000
18005,Gamle mænd i nye biler,95.0,2002
18017,Astérix & Obélix Mission Cléopâtre,108.0,2002
18337,ゴジラ・モスラ・キングギドラ大怪獣総進撃,105.0,2001
18341,American Psycho 2: All American Girl,88.0,2002
18343,DEAD OR ALIVE 2　逃亡者,97.0,2000
18352,Cube 2: Hypercube,94.0,2002
18358,엽기적인 그녀,123.0,2001
18364,Sprängaren,128.0,2001
18366,조폭 마누라,110.0,2001
18368,Dead or Alive: Final,89.0,2002
18398,Fubar,76.0,2002
18404,복수는 나의 것,121.0,2002
18410,The Foreigner,96.0,2003
18442,Den tredje vågen,115.0,2003
18502,The Lion King 1½,77.0,2004
18520,Cremaster 3,182.0,2002
18521,Herr Lehmann,105.0,2003
18523,呪怨,70.0,2000
18524,呪怨2 ビデオ版,76.0,2000
18525,Tremors 4: The Legend Begins,101.0,2004
18529,Bring It On Again,90.0,2004
18530,Les Rivières pourpres 2 : Les Anges de l'apocalypse,97.0,2004
18692,Sniper 2,97.0,2002
18693,Batoru rowaiaru II: Chinkonka,155.0,2003
18695,赤裸特工,90.0,2002
18701,イノセンス,100.0,2004
18707,Tasogare Seibei,129.0,2002
18710,千機變,107.0,2003
18716,Ginger Snaps 2: Unleashed,94.0,2004
18720,Villmark,82.0,2003
18732,呪怨じゅおん,92.0,2002
18733,올드보이,120.0,2003
18741,Ginger Snaps Back: The Beginning,94.0,2004
18753,着信アリ,112.0,2003
18755,犬夜叉 鏡の中の夢幻城,99.0,2002
18759,Starship Troopers 2: Hero of the Federation,88.0,2004
18767,呪怨2,95.0,2003
18781,Ong Bak,105.0,2003
18789,無間道II,119.0,2003
18837,Saints and Soldiers,90.0,2003
18847,Open Water,79.0,2004
18849,無間道III: 終極無間,118.0,2003
18852,The Ring Two,110.0,2005
18861,The Yes Men,80.0,2003
18863,Бумер,110.0,2003
18867,あずみ,128.0,2003
18877,Cruel Intentions 3,85.0,2004
18886,What the #$*! Do We (K)now!?,109.0,2004
18889,Gin gwai 2,95.0,2004
18905,Hellraiser: Inferno,99.0,2000
18921,Meet the Fockers,115.0,2004
18929,White Noise,101.0,2005
19010,Kaijūtō no Kessen: Gojira no Musuko,86.0,1967
19011,仁義なき戦い,99.0,1973
19014,L'armata Brancaleone,120.0,1966
19038,アップルシード,101.0,2004
19062,Pippi Långstrump på de sju haven,86.0,1970
19074,På rymmen med Pippi Långstrump,94.0,1970
19076,Boys Town,96.0,1938
19079,Beastmaster 2: Through the Portal of Time,107.0,1991
19087,Dr. Who and the Daleks,82.0,1965
19089,Are We There Yet?,95.0,2005
19101,Alone in the Dark,96.0,2005
19221,Boogeyman,89.0,2005
19269,Die Ehe der Maria Braun,116.0,1979
19293,Constantine,121.0,2005
19455,Son of the Mask,94.0,2005
19471,Ночной дозор,114.0,2004
19495,Topper Returns,88.0,1941
19499,"No Retreat, No Surrender",85.0,1986
19501,The ChubbChubbs!,5.0,2002
19504,The Three Musketeers,105.0,1973
19512,Domicile Conjugal,100.0,1970
19518,Germania anno zero,70.0,1948
19530,La noche del terror ciego,101.0,1972
19534,Be Cool,118.0,2005
19550,ゴジラ・エビラ・モスラ　南海の大決闘,87.0,1966
19554,ゴジラvsメカゴジラ,108.0,1993
19559,"Oh, God! You Devil",97.0,1984
19560,Cube Zero,97.0,2004
19587,Vares – Yksityisetsivä,95.0,2004
19590,Miss Congeniality 2: Armed and Fabulous,115.0,2005
19596,Zu: The Warriors from the Magic Mountain,95.0,1983
19606,Kaijū Daisensō,96.0,1965
19614,Sin City,124.0,2005
19623,Il fiore delle mille e una notte,130.0,1974
19629,リング０　バースデイ,99.0,2000
19630,Love Comes Softly,88.0,2003
19642,The Amityville Horror,90.0,2005
19654,State Property 2,94.0,2005
19658,xXx: State of the Union,101.0,2005
19676,新座頭市　破れ！唐人剣,94.0,1971
19694,Земля,75.0,1930
19695,バンパイアハンターD,80.0,1985
19698,Star Wars: Episode III - Revenge of the Sith,140.0,2005
19701,The Invisible Woman,72.0,1940
19704,Madagascar,86.0,2005
19734,Dominion: Prequel to the Exorcist,117.0,2005
19736,The Sisterhood of the Traveling Pants,119.0,2005
19754,ゴジラvsビオランテ,105.0,1989
19758,Batman Begins,140.0,2005
19866,Gojira: Fainaru uôzu,125.0,2004
19881,Herbie Fully Loaded,101.0,2005
19891,Land of the Dead,93.0,2005
19951,Nybyggarna,204.0,1972
19955,Amici miei,140.0,1975
19956,Gojira tai Hedora,87.0,1971
19962,Billion Dollar Brain,111.0,1967
19963,Fantastic Four,106.0,2005
20003,Les Poupées Russes,129.0,2005
20039,The Devil's Rejects,107.0,2005
20087,여고괴담,105.0,1998
20088,The Dukes of Hazzard,104.0,2005
20100,Deuce Bigalow: European Gigolo,83.0,2005
20112,Pusher II,100.0,2004
20118,Doomed to Die,68.0,1940
20122,Astérix & Obélix contre César,109.0,1999
20154,Transporter 2,87.0,2005
20217,Revenge of the Ninja,90.0,1983
20241,警察故事續集,101.0,1988
20247,新警察故事,123.0,2004
20271,Waiting...,94.0,2005
20275,Green Street Hooligans,109.0,2005
20279,Final Fantasy VII: Advent Children,101.0,2005
20283,Into the Blue,110.0,2005
20295,The Curse of the Were-Rabbit,85.0,2005
20311,여고괴담 3: 여우계단,97.0,2003
20312,Goal!: The Dream Begins,118.0,2005
20324,Star Wreck: In the Pirkinning,103.0,2005
20327,Left Behind III: World at War,95.0,2005
20333,The Legend of Zorro,129.0,2005
20357,Saw II,92.0,2005
20362,"Un genio, due compari, un pollo",117.0,1975
20368,American Pie Presents: Band Camp,94.0,2005
20369,Tarzan the Ape Man,100.0,1932
20371,Tarzan and His Mate,100.0,1934
20374,Manderlay,139.0,2005
20521,L'amour en fuite,89.0,1979
20524,Jarhead,125.0,2005
20588,The Brides of Dracula,85.0,1960
20590,Wolf Creek,99.0,2005
20606,The Descent,99.0,2005
20612,Harry Potter and the Goblet of Fire,157.0,2005
20648,The Wild Geese,134.0,1978
20654,The Evil of Frankenstein,86.0,1964
20656,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143.0,2005
20680,Havoc,85.0,2005
20688,Иван Грозный. Сказ второй: Боярский заговор,88.0,1958
20696,Livvakterna,112.0,2001
20700,The Ambushers,102.0,1967
20712,Cheaper by the Dozen 2,94.0,2005
20715,The Dentist,92.0,1996
20727,Yamakasi - Les samouraïs des temps modernes,90.0,2001
20730,Love's Enduring Promise,88.0,2004
20733,친절한 금자씨,115.0,2005
20775,Banlieue 13,84.0,2004
20784,BloodRayne,95.0,2005
20792,Hostel,94.0,2005
20798,Hoodwinked!,80.0,2005
20807,Underworld: Evolution,106.0,2006
20831,Casper Meets Wendy,90.0,1998
20858,A計劃,106.0,1983
20866,Vinci,108.0,2004
20869,The Quatermass Xperiment,82.0,1955
20871,Hellraiser: Hellseeker,89.0,2002
20895,Daikaijû kûchûsen: Gamera tai Gyaosu,86.0,1967
20899,8MM 2,106.0,2005
20911,Water,115.0,2005
20923,Uuno Turhapuro armeijan leivissä,102.0,1984
20924,Les Bronzés,105.0,1978
20926,Big Momma's House 2,99.0,2006
20944,Nanny McPhee,97.0,2005
20998,The Comedians of Comedy,103.0,2005
21000,Final Destination 3,93.0,2006
21036,The Pink Panther,93.0,2006
21061,Troll,82.0,1986
21069,Curious George,86.0,2006
21081,When a Stranger Calls,87.0,2006
21085,Pulse,90.0,2006
21089,黑社會,101.0,2005
21107,Ultimate Avengers,72.0,2006
21115,Ice Age: The Meltdown,91.0,2006
21123,The Prince & Me 2: The Royal Wedding,96.0,2006
21129,Leprechaun 2,85.0,1994
21131,Leprechaun 3,90.0,1995
21134,Leprechaun 4: In Space,95.0,1996
21142,Leprechaun in the Hood,90.0,2000
21143,Laitakaupungin valot,78.0,2006
21147,The Hills Have Eyes,107.0,2006
21163,Inspector Clouseau,96.0,1968
21171,Son of the Pink Panther,93.0,1993
21175,Urban Legends: Bloody Mary,93.0,2005
21179,Basic Instinct 2,114.0,2006
21251,Scary Movie 4,83.0,2006
21252,Silent Hill,125.0,2006
21284,ต้มยำกุ้ง,108.0,2005
21380,Mission: Impossible III,126.0,2006
21758,Die Nibelungen: Siegfried,140.0,1924
21764,Die Nibelungen: Kriemhilds Rache,129.0,1924
21770,隠し剣 鬼の爪,132.0,2004
21774,The Da Vinci Code,149.0,2006
21902,X-Men: The Last Stand,104.0,2006
22034,Cars,117.0,2006
22066,Pirates of the Caribbean: Dead Man's Chest,151.0,2006
22102,Clerks II,97.0,2006
22104,See No Evil,84.0,2006
22108,Hollow Man II,91.0,2006
22120,High School Musical,98.0,2006
22125,Jack Frost 2: Revenge of the Mutant Killer Snowman,91.0,2000
22126,The Fast and the Furious: Tokyo Drift,104.0,2006
22142,Garfield: A Tail of Two Kitties,78.0,2006
22178,Uno sceriffo extraterrestre - poco extra e molto terrestre,88.0,1979
22182,Superman Returns,154.0,2006
22230,Curse of the Pink Panther,109.0,1983
22242,Mimic: Sentinel,77.0,2003
22248,कृष,154.0,2006
22250,여고괴담 두번째 이야기,98.0,1999
22253,Night at the Museum,108.0,2006
22373,Crank,88.0,2006
22409,Step Up,104.0,2006
22425,Bon Cop Bad Cop,116.0,2006
22437,Jin doi hou haap cyun,101.0,1993
22440,笑傲江湖II東方不敗,107.0,1992
22448,Der siebente Kontinent,107.0,1989
22449,Vixen!,70.0,1968
22458,Jackass Number Two,95.0,2006
22461,The Land Before Time II: The Great Valley Adventure,73.0,1994
22464,Open Season,83.0,2006
22467,The Texas Chainsaw Massacre: The Beginning,91.0,2006
22472,The Grudge 2,102.0,2006
22490,The Marine,92.0,2006
22514,Feast,95.0,2005
22523,Flags of Our Fathers,132.0,2006
22535,あずみ２　Death or Love,108.0,2005
22537,Saw III,108.0,2006
22546,Corto Maltese : La cour secrète des Arcanes,92.0,2002
22562,The Butterfly Effect 2,95.0,2006
22571,The Santa Clause 3: The Escape Clause,98.0,2006
22583,Casino Royale,144.0,2006
22673,Happy Feet,108.0,2006
22677,"OSS 117 : Le Caire, nid d'espions",99.0,2006
22689,Reeker,90.0,2005
22707,Van Wilder 2: The Rise of Taj,97.0,2006
22708,Dracula's Daughter,71.0,1936
22711,She,106.0,1965
22714,黑社会2：以和为贵,92.0,2006
22722,Rocky Balboa,102.0,2006
22730,Another Gay Movie,92.0,2006
22738,Loose Change: 2nd Edition,100.0,2006
22739,Il Decameron,112.0,1971
22793,Letters from Iwo Jima,141.0,2006
22857,Happily N'Ever After,75.0,2006
22897,Stomp the Yard,114.0,2007
22899,Arthur et les Minimoys,94.0,2006
22915,American Pie Presents: The Naked Mile,97.0,2006
22919,Il ritorno di Don Camillo,115.0,1953
22939,Don Camillo,107.0,1952
22951,Le Testament d'Orphée,80.0,1960
22955,Le sang d'un poète,55.0,1932
22957,49 Up,180.0,2005
22958,Seven Up!,39.0,1964
22959,7 Plus Seven,52.0,1970
22960,Smokin' Aces,109.0,2006
23020,The Messengers,90.0,2007
23038,Hannibal Rising,121.0,2007
23290,Cocaine Cowboys,118.0,2006
23292,"Wake Up, Ron Burgundy: The Lost Movie",93.0,2004
23294,殺破狼,93.0,2005
23318,Trailer Park Boys: The Movie,95.0,2006
23319,Ghost Rider,114.0,2007
23375,Kidulthood,89.0,2006
23378,Like Mike 2: Streetball,96.0,2006
23381,少林卅六房,115.0,1978
23383,The Trial of Billy Jack,170.0,1974
23385,Emil i Lönneberga,95.0,1971
23393,I racconti di Canterbury,111.0,1972
23409,2001 Maniacs,87.0,2005
23415,Teen Wolf Too,95.0,1987
23418,Pusher 3,108.0,2005
23424,Babylon 5: The Gathering,89.0,1993
23433,White Noise 2: The Light,99.0,2007
23449,Atlantis: Milo's Return,70.0,2003
23454,The Ultimate Gift,114.0,2006
23466,300,117.0,2006
23487,The Hills Have Eyes II,89.0,2007
23499,武士の一分,121.0,2006
23502,Are We Done Yet?,92.0,2007
23514,Vacancy,80.0,2007
23518,Benny's Video,105.0,1993
23542,Mr. Bean's Holiday,90.0,2007
23590,The Condemned,113.0,2007
23602,Spider-Man 3,139.0,2007
23620,21 Up,100.0,1977
23622,Maniac Cop,85.0,1988
23625,Дневной дозор,132.0,2006
23631,This Is England,101.0,2006
23639,28 Weeks Later,100.0,2007
23675,Shrek the Third,93.0,2007
23685,Pirates of the Caribbean: At World's End,169.0,2007
23694,The Librarian: Return to King Solomon's Mines,92.0,2006
23703,The Librarian: Quest for the Spear,106.0,2004
23808,Fay Grim,118.0,2006
23810,Ocean's Thirteen,122.0,2007
23834,ゴジラvsモスラ,102.0,1992
23838,ゴジラvsデストロイア,103.0,1995
23842,ゴジラvsキングギドラ,103.0,1991
23848,Hostel: Part II,93.0,2007
23854,Starcrash,94.0,1978
23870,Surf's Up,85.0,2007
23876,4: Rise of the Silver Surfer,92.0,2007
24212,Death Proof,113.0,2007
24220,Bring It On: All or Nothing,99.0,2006
24221,Goal! II: Living the Dream,115.0,2007
24223,Still Smokin,91.0,1983
24224,Live Free or Die Hard,128.0,2007
24284,Evan Almighty,96.0,2007
24305,Transformers,144.0,2007
24359,Harry Potter and the Order of the Phoenix,138.0,2007
24375,Arn: Tempelriddaren,139.0,2007
24579,The Bourne Ultimatum,115.0,2007
24779,Se eu fosse você,108.0,2006
24786,Abraham,175.0,1994
24810,Brice de Nice,98.0,2005
24811,Rush Hour 3,91.0,2007
24831,Daddy Day Camp,89.0,2007
24835,Halloween,109.0,2007
24838,2 Days in Paris,96.0,2007
24886,Faccia a Faccia,112.0,1967
24890,Taxi 4,91.0,2007
24892,Planet Terror,105.0,2007
24895,An Evening with Kevin Smith,224.0,2002
24897,Resident Evil: Extinction,94.0,2007
24957,Elizabeth: The Golden Age,114.0,2007
24984,Sleuth,86.0,2007
25004,30 Days of Night,113.0,2007
25020,Why Did I Get Married?,113.0,2007
25022,Saw IV,93.0,2007
25028,少林搭棚大師,99.0,1980
25030,Tropa de Elite,115.0,2007
25054,Decoys,95.0,2004
25057,Du levande,95.0,2007
25273,The Man from Earth,87.0,2007
25275,An Evening with Kevin Smith 2: Evening Harder,239.0,2006
25277,Hitman,89.0,2007
25421,Alvin and the Chipmunks,92.0,2007
25501,Futurama: Bender's Big Score,88.0,2007
25507,Wrong Turn 2: Dead End,96.0,2007
25519,Helvetica,80.0,2007
25521,不良姐御伝 猪の鹿お蝶,88.0,1973
25525,The Hamiltons,86.0,2006
25531,National Treasure: Book of Secrets,124.0,2007
25603,Aliens vs Predator: Requiem,94.0,2007
25623,Keinohrhasen,116.0,2007
25626,Battlestar Galactica: Razor,88.0,2007
25646,[REC],78.0,2007
25650,In the Name of the King: A Dungeon Siege Tale,127.0,2007
25686,Hatchet,83.0,2006
25688,One Missed Call,87.0,2008
25724,Rambo,92.0,2008
25784,The Eye,98.0,2008
25796,Hellboy II: The Golden Army,120.0,2008
25832,Rise of the Footsoldier,119.0,2007
25842,Step Up 2: The Streets,98.0,2008
25860,Diary of the Dead,95.0,2007
25863,Zeitgeist,118.0,2007
25865,Terkel i knibe,77.0,2004
25871,Return of the Living Dead 3,97.0,1993
25883,The Dark Knight,152.0,2008
25963,Black Dawn,96.0,2005
25966,Never Back Down,115.0,2008
25972,Mekagojira no Gyakushū,83.0,1975
25978,ゼブラーマン,115.0,2004
25981,Nim's Island,96.0,2008
25985,Street Kings,109.0,2008
26017,Harold & Kumar Escape from Guantanamo Bay,107.0,2008
26019,Outpost,90.0,2007
26025,Tarzan Escapes,89.0,1936
26029,Tarzan Finds a Son!,82.0,1939
26031,Tarzan's Secret Treasure,81.0,1941
26034,Tarzan's New York Adventure,71.0,1942
26036,Prom Night,88.0,2008
26040,Iron Man,126.0,2008
26064,Taken,93.0,2008
26280,Stargate: The Ark of Truth,97.0,2008
26288,American Pie Presents: Beta House,88.0,2007
26290,The Chronicles of Narnia: Prince Caspian,150.0,2008
26374,Indiana Jones and the Kingdom of the Crystal Skull,122.0,2008
26386,Sex and the City,145.0,2008
26395,Kung Fu Panda,90.0,2008
26399,Flesh Gordon,90.0,1974
26401,Wanted,110.0,2008
26455,Ten Minutes Older: The Trumpet,92.0,2002
26605,St. Trinian's,101.0,2007
26614,Futurama: The Beast with a Billion Backs,90.0,2008
26622,Bambi II,72.0,2006
26625,Kit Kittredge: An American Girl,101.0,2008
26646,Frosty the Snowman,25.0,1969
26649,Mamma Mia!,108.0,2008
26709,Silentium,110.0,2004
26712,Journey to the Center of the Earth,93.0,2008
26742,Drabet,100.0,2005
26744,Bænken,93.0,2000
26750,デスノート,126.0,2006
26759,Space Chimps,81.0,2008
26769,Stargate: Continuum,98.0,2008
26785,War Games: The Dead Code,96.0,2008
26791,The X Files: I Want to Believe,104.0,2008
26823,The Little Mermaid II: Return to the Sea,72.0,2000
26847,The Colour of Magic,191.0,2008
26853,Hogfather,185.0,2006
26855,The Mummy: Tomb of the Dragon Emperor,112.0,2008
26945,Chi bi,150.0,2008
26963,The Sisterhood of the Traveling Pants 2,117.0,2008
26967,High School Musical 2,104.0,2007
26971,Death Race,105.0,2008
27025,Mirrors,110.0,2008
27055,Return to House on Haunted Hill,81.0,2007
27059,La terza madre,102.0,2007
27069,Son of Lassie,102.0,1945
27073,The Crow IV: Wicked Prayer,99.0,2005
27097,Alone in the Dark 2,88.0,2008
27106,"The Tulse Luper Suitcases, Part 1: The Moab Story",127.0,2003
27166,I quattro dell'Ave Maria,132.0,1968
27175,"Indio Black, sai che ti dico: Sei un gran figlio di…",104.0,1970
27187,The Drowning Pool,108.0,1975
27199,Niko: Lentäjän poika,80.0,2008
27239,Quarantine,89.0,2008
27248,Lost Boys: The Tribe,94.0,2008
27280,子連れ狼 死に風に向う乳母車,89.0,1972
27284,子連れ狼 親の心子の心,81.0,1972
27286,Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,90.0,2002
27295,Babylon 5: The Lost Tales - Voices in the Dark,75.0,2007
27304,High School Musical 3: Senior Year,116.0,2008
27309,Futurama: Bender's Game,88.0,2008
27315,Madagascar: Escape 2 Africa,89.0,2008
27321,ギニーピッグ2 血肉の華,42.0,1985
27322,Quantum of Solace,106.0,2008
27362,クローズZERO,130.0,2007
27365,Camp Rock,94.0,2008
27375,Saw V,92.0,2008
27381,Critters 4,100.0,1992
27389,Beverly Hills Chihuahua,91.0,2008
27392,御用牙,108.0,1972
27398,The Dirty Dozen: Next Mission,95.0,1985
27404,The Dirty Dozen: The Deadly Mission,90.0,1987
27412,Revenge of the Zombies,61.0,1943
27413,Twilight,122.0,2008
27437,Transporter 3,104.0,2008
27597,The Guyver,88.0,1991
27600,A Matter of Loaf and Death,30.0,2008
27603,Ninja III: The Domination,92.0,1984
27607,Che: Part One,134.0,2008
27733,Che: Part Two,131.0,2009
27877,Starship Troopers 3: Marauder,105.0,2008
27913,The Wrecking Crew,105.0,1968
27916,倩女幽魂II人間道,104.0,1990
27922,Why We Fight: The Nazis Strike,42.0,1943
27924,Why We Fight: The Battle of Britain,54.0,1943
27927,Why We Fight: The Battle of Russia,83.0,1943
27930,The Dirty Dozen: The Fatal Mission,100.0,1988
28011,Why We Fight: Divide and Conquer,57.0,1943
28013,H.G. Wells' War of the Worlds,100.0,2005
28014,War of the Worlds 2: The Next Wave,90.0,2008
28017,Zeitgeist: Addendum,123.0,2008
28020,Marley & Me,115.0,2008
28024,Jesse Stone: Night Passage,89.0,2006
28036,American Ninja 4: The Annihilation,99.0,1990
28038,Open Season 2,76.0,2008
28050,葉問,108.0,2008
28059,Howling V: The Rebirth,96.0,1989
28062,Why We Fight: The Battle of China,62.0,1944
28064,The Gamers: Dorkness Rising,105.0,2008
28067,L'Instinct de mort,113.0,2008
28211,My Bloody Valentine,101.0,2009
28213,Underworld: Rise of the Lycans,92.0,2009
28233,Why We Fight: War Comes to America,70.0,1945
28235,Revenge of the Nerds III: The Next Generation,93.0,1992
28236,Revenge of the Nerds IV: Nerds In Love,92.0,1994
28238,Ginga tetsudô Three-Nine,128.0,1979
28247,Paul Blart: Mall Cop,91.0,2009
28263,The Grudge 3,90.0,2009
28290,Uuno Turhapuro,87.0,1973
28291,Futurama: Into the Wild Green Yonder,90.0,2009
28295,Afro Samurai: Resurrection,91.0,2009
28297,Trancers,77.0,1984
28315,Still Waiting...,90.0,2009
28318,Street Fighter: The Legend of Chun-Li,97.0,2009
28350,Friday the 13th,97.0,2009
28351,Screamers: The Hunting,94.0,2009
28354,The Pink Panther 2,92.0,2009
28360,Marius,130.0,1931
28362,César,141.0,1936
28364,Fanny,140.0,1932
28366,The Haunting in Connecticut,102.0,2009
28378,Kishiwada shônen gurentai: Bôkyô,94.0,1998
28382,Ong Bak 2,98.0,2008
28394,Män som hatar kvinnor,152.0,2009
28634,Naked Fear,104.0,2007
28638,Ogniem i mieczem,175.0,1999
28686,The Butterfly Effect 3: Revelations,90.0,2009
28698,Rest Stop,80.0,2006
28706,Kiler,104.0,1997
28712,Fast & Furious,107.0,2009
28732,姿三四郎,80.0,1943
28734,Zoku Sugata Sanshiro,83.0,1945
28736,Bab'Aziz,98.0,2005
28834,Crank: High Voltage,96.0,2009
28843,Kiler-ów 2-óch,127.0,1999
28845,X-Men Origins: Wolverine,107.0,2009
28877,Star Trek,127.0,2009
28901,Black Magic,67.0,1944
28904,Piedone d'Egitto,104.0,1980
28908,赤壁 2,136.0,2009
28938,Wild Things: Diamonds in the Rough,87.0,2005
28965,S. Darko,103.0,2009
28977,Angels & Demons,138.0,2009
29073,Terminator Salvation,115.0,2009
29169,Night at the Museum: Battle of the Smithsonian,105.0,2009
29229,Sami swoi,81.0,1967
29231,Paisà,125.0,1946
29240,新世紀エヴァンゲリオン 劇場版 DEATH & REBIRTH シト新生,101.0,1997
29264,劇場版 鋼の錬金術師 シャンバラを征く者,105.0,2005
29336,OSS 117 : Rio ne répond plus,100.0,2009
29352,Without a Paddle: Nature's Calling,96.0,2009
29355,The Hangover,100.0,2009
29363,らんま½ - 中国寝崑崙大決戦! 掟やぶりの激闘篇!,74.0,1991
29365,Ernest Rides Again,94.0,1993
29369,U Pana Boga za piecem,100.0,1998
29372,Død snø,91.0,2009
29386,Zulu Dawn,117.0,1979
29458,The Land That Time Forgot,90.0,1975
29482,Garfield's Pet Force,78.0,2009
29485,Jak rozpętałem drugą wojnę światową: Cz.3 - Wśród swoich,73.0,1970
29493,Transformers: Revenge of the Fallen,150.0,2009
29535,Ice Age: Dawn of the Dinosaurs,94.0,2009
29543,らんま1/2 決戦桃幻郷! 花嫁を奪りもどせ!,63.0,1992
29546,زیر درختان زیتون,103.0,1994
29552,Flåklypa Grand Prix,88.0,1975
29556,The Librarian: The Curse of the Judas Chalice,95.0,2008
29560,Obitaemyy Ostrov,115.0,2008
29576,Harry Potter and the Half-Blood Prince,153.0,2009
29588,Les Visiteurs 2 : Les Couloirs du temps,118.0,1998
29596,Open Water 2: Adrift,94.0,2006
29620,Slap Shot 2: Breaking the Ice,104.0,2002
29621,The Vault of Horror,83.0,1973
29625,The Collector,88.0,2009
29631,G.I. Joe: The Rise of Cobra,118.0,2009
29751,12 Rounds,108.0,2009
29791,"Silent Night, Deadly Night Part 2",88.0,1987
29793,Kill Buljo,93.0,2007
29796,ヱヴァンゲリヲン新劇場版：序,97.0,2007
29800,ラブひな クリスマススペシャル ～サイレント・イヴ～,46.0,2000
29806,Feast II: Sloppy Seconds,97.0,2008
29824,Olympia - Fest der Völker,126.0,1938
29825,Olympia - Fest der Schönheit,100.0,1938
29826,Assault on Devil's Island,96.0,1997
29828,The Cell 2,94.0,2009
29834,Vacancy 2: The First Cut,86.0,2008
29836,Troll 2,95.0,1990
29837,If These Walls Could Talk,97.0,1996
29841,Halloween II,105.0,2009
29844,Carry On Screaming,87.0,1966
29846,Green Street Hooligans 2,94.0,2009
