,pelicula_id,puesto,crew_nombre,franquicia,compañia,pais,presupuesto_y,idioma_original,titulo_original,fecha_realizacion,recaudacion_y,duracion,año_realizacion,ganancia
10609,9312,Director,Paul W.S. Anderson,Mortal Kombat Collection,New Line Cinema,United States of America,18000000.0,en,Mortal Kombat,1995-08-18,122195920.0,101.0,1995,6.788662222222222
10610,9312,Director,Paul W.S. Anderson,Mortal Kombat Collection,Threshold Entertainment,United States of America,18000000.0,en,Mortal Kombat,1995-08-18,122195920.0,101.0,1995,6.788662222222222
10785,10530,Director,Mike Gabriel,Pocahontas Collection,Walt Disney Pictures,United States of America,55000000.0,en,Pocahontas,1995-06-14,346079773.0,81.0,1995,6.292359509090909
10786,10530,Director,Mike Gabriel,Pocahontas Collection,Walt Disney Feature Animation,United States of America,55000000.0,en,Pocahontas,1995-06-14,346079773.0,81.0,1995,6.292359509090909
10793,10530,Director,Eric Goldberg,Pocahontas Collection,Walt Disney Pictures,United States of America,55000000.0,en,Pocahontas,1995-06-14,346079773.0,81.0,1995,6.292359509090909
10794,10530,Director,Eric Goldberg,Pocahontas Collection,Walt Disney Feature Animation,United States of America,55000000.0,en,Pocahontas,1995-06-14,346079773.0,81.0,1995,6.292359509090909
12833,11525,Director,Farhad Mann,The Lawnmower Man Collection,New Line Cinema,United States of America,0.0,en,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,2409225.0,92.0,1996,inf
12893,10634,Director,F. Gary Gray,Friday Collection,New Line Cinema,United States of America,3500000.0,en,Friday,1995-04-26,28215918.0,91.0,1995,8.061690857142857
12911,755,Director,Robert Rodriguez,From Dusk Till Dawn Collection,A Band Apart,United States of America,19000000.0,en,From Dusk Till Dawn,1996-01-19,25836616.0,108.0,1996,1.359821894736842
12912,755,Director,Robert Rodriguez,From Dusk Till Dawn Collection,Dimension Films,United States of America,19000000.0,en,From Dusk Till Dawn,1996-01-19,25836616.0,108.0,1996,1.359821894736842
