,pelicula_id,director,titulo_original,recaudacion,fecha_realizacion,presupuesto,ganancia
1431319,2362,Michael Crichton,Westworld,0.0,1973-10-22,0.0,0.0
1432985,871,Franklin J. Schaffner,Planet of the Apes,33395426.0,1968-02-07,5800000.0,5.757832068965517
1434969,1685,Ted Post,Beneath the Planet of the Apes,18999718.0,1970-05-01,3000000.0,6.333239333333333
1435545,1705,J. Lee Thompson,Battle for the Planet of the Apes,8844595.0,1973-06-15,1700000.0,5.202702941176471
1435817,1688,J. Lee Thompson,Conquest of the Planet of the Apes,9700000.0,1972-06-29,1700000.0,5.705882352941177
1436281,1687,Don Taylor,Escape from the Planet of the Apes,12348905.0,1971-05-20,2500000.0,4.939562
1436489,29723,David Lowell Rich,The Concorde... Airport '79,13015688.0,1979-08-17,14000000.0,0.929692
1436921,31638,Irwin Allen,Beyond the Poseidon Adventure,0.0,1979-05-18,0.0,0.0
1437056,9535,Harold Ramis,Analyze This,176885658.0,1999-03-05,80000000.0,2.211070725
1442432,796,Roger Kumble,Cruel Intentions,75902208.0,1999-03-05,10500000.0,7.228781714285715
1447292,7341,Katt Shea,The Rage: Carrie 2,17762705.0,1999-03-11,21000000.0,0.8458430952380952
1448804,603,Lana Wachowski,The Matrix,463517383.0,1999-03-30,63000000.0,7.357418777777778
1448820,603,Lilly Wachowski,The Matrix,463517383.0,1999-03-30,63000000.0,7.357418777777778
1467236,564,Stephen Sommers,The Mummy,415885488.0,1999-04-16,80000000.0,5.1985686
1469108,9460,Daniel Lee,黑侠,0.0,1996-11-07,0.0,0.0
1469576,1893,George Lucas,Star Wars: Episode I - The Phantom Menace,924317558.0,1999-05-19,115000000.0,8.037543982608696
1470098,15849,Karl Freund,The Mummy,0.0,1932-12-22,196000.0,0.0
1470155,18990,Terence Fisher,The Mummy,0.0,1959-09-29,0.0,0.0
1470171,29242,Leslie Goodwins,The Mummy's Curse,0.0,1944-12-22,0.0,0.0
1470187,29243,Reginald Le Borg,The Mummy's Ghost,0.0,1944-07-07,0.0,0.0
1470212,31498,Christy Cabanne,The Mummy's Hand,0.0,1940-09-20,0.0,0.0
1470231,29239,Harold Young,The Mummy's Tomb,0.0,1942-10-23,0.0,0.0
1470556,1924,Richard Donner,Superman,300218018.0,1978-12-13,55000000.0,5.458509418181818
1523548,8536,Richard Lester,Superman II,190458706.0,1980-12-04,54000000.0,3.527013074074074
1552348,9531,Richard Lester,Superman III,75850624.0,1983-06-17,39000000.0,1.9448877948717949
1588348,11411,Sidney J. Furie,Superman IV: The Quest for Peace,19300000.0,1987-07-23,17000000.0,1.1352941176470588
1640188,138,Tod Browning,Dracula,1012189.0,1931-02-12,355000.0,2.8512366197183097
1640266,30793,Erle C. Kenton,House of Dracula,0.0,1945-12-06,0.0,0.0
1640338,3103,Erle C. Kenton,House of Frankenstein,0.0,1944-12-01,0.0,0.0
1641234,3035,James Whale,Frankenstein,12000000.0,1931-11-21,291000.0,41.23711340206186
1641477,3077,Rowland V. Lee,Son of Frankenstein,0.0,1939-01-13,0.0,0.0
1641569,3074,Erle C. Kenton,The Ghost of Frankenstein,0.0,1942-03-13,0.0,0.0
1641848,3076,Roy William Neill,Frankenstein Meets the Wolf Man,0.0,1943-03-05,0.0,0.0
1642064,3079,Terence Fisher,The Curse of Frankenstein,0.0,1957-05-02,0.0,0.0
1642132,32023,Robert Siodmak,Son of Dracula,0.0,1943-10-05,0.0,0.0
1642232,13666,George Waggner,The Wolf Man,0.0,1941-12-12,0.0,0.0
1642344,29794,Philippe Mora,Howling II: Stirba - Werewolf Bitch,0.0,1985-08-28,0.0,0.0
1643240,36685,Jim Sharman,The Rocky Horror Picture Show,112892319.0,1975-08-14,1200000.0,94.0769325
1646312,17918,Wes Craven,Swamp Thing,0.0,1982-02-19,3000000.0,0.0
1646376,817,Jay Roach,Austin Powers: The Spy Who Shagged Me,310940086.0,1999-06-08,33000000.0,9.422426848484848
1648680,37135,Kevin Lima,Tarzan,448000000.0,1999-06-18,150000000.0,2.986666666666667
1648684,37135,Chris Buck,Tarzan,448000000.0,1999-06-18,150000000.0,2.986666666666667
1649032,2105,Chris Weitz,American Pie,235483004.0,1999-07-09,11000000.0,21.40754581818182
1649040,2105,Paul Weitz,American Pie,235483004.0,1999-07-09,11000000.0,21.40754581818182
1654536,10239,Éric Rohmer,Conte d'automne,0.0,1998-09-07,0.0,0.0
1654716,10208,Tim Hill,Muppets from Space,16290976.0,1999-07-14,24000000.0,0.6787906666666667
